Gene Set,TYPE,Normal Breast (Epithelial-Stromal),ER-positive (Epithelial-Stromal),ER-negative (Epithelial-Stromal),Normal Breast (Epithelial-Epithelial),ER-positive (Epithelial-Epithelial),ER-negative (Epithelial-Epithelial)
XENOBIOTIC_METABOLIC_PROCESS,GO_BP,0.438019625,0.421433875,1,0.98482921,0.923517878,0.99288741
TISSUE_MORPHOGENESIS,GO_BP,0.966614399,0.423847858,1,0.98482921,0.129497504,0.99288741
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG,0.968446959,0.427103237,0.604633842,0.721543439,0.000230131,0.095055892
CELL_MATRIX_ADHESION,GO_BP,0.966614399,0.429265262,1,0.683651798,0.95682381,0.475279585
ENDOTHELIAL_CELL_MIGRATION,GO_BP,0.966614399,0.434248882,0.264161494,0.98482921,0.95682381,0.99288741
EXCRETION,GO_BP,0.966614399,0.434248882,0.706578443,0.98482921,0.930221915,0.954286763
NEURITE_DEVELOPMENT,GO_BP,0.966614399,0.434248882,1,0.98482921,0.975640473,0.99288741
SECOND_MESSENGER_MEDIATED_SIGNALING,GO_BP,0.966614399,0.434706081,0.373054354,0.138204559,0.101697364,0.057942024
Hannemann 2006 (invasiveness),BRCA_PROG_SIG,0.564493111,0.444802597,0.278766632,0.98482921,0.401045407,0.99288741
CELL_CYCLE_CHECKPOINT_GO_0000075,GO_BP,0.968446959,0.444802597,0.393061203,0.98482921,0.136273733,0.018914507
PIGMENT_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.444802597,0.48655612,0.98482921,0.95682381,0.99288741
Filipits 2011 (ER+/HER2- PCR 11 genes),BRCA_PROG_SIG,0.674894713,0.444802597,1,0.98482921,0.041966464,0.952108288
ANATOMICAL_STRUCTURE_MORPHOGENESIS,GO_BP,0.878139032,0.444802597,1,0.992470148,0.934250089,0.414859951
POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.957891178,0.444802597,1,0.305965678,0.440284606,1
CELLULAR_BIOSYNTHETIC_PROCESS,GO_BP,0.482833342,0.447521108,0.936416503,0.034908801,0.337118303,1
KEGG_LIMONENE_AND_PINENE_DEGRADATION,KEGG,0.966614399,0.447521108,1,1,0.95682381,1
G1_PHASE_OF_MITOTIC_CELL_CYCLE,GO_BP,0.966614399,0.461741823,1,0.98482921,0.111868419,0.598221179
ACTIN_FILAMENT_BUNDLE_FORMATION,GO_BP,0.966614399,0.472944683,1,1,0.958668851,1
NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,GO_BP,0.243984124,0.474131586,1,0.98482921,0.427989782,0.99288741
PROTEIN_UBIQUITINATION,GO_BP,0.679572234,0.474437678,0.151902287,0.98482921,0.810042292,0.125771628
REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION,GO_BP,0.966614399,0.476002528,1,0.98714369,0.423985913,1
MICROTUBULE_BASED_MOVEMENT,GO_BP,0.969659776,0.476002528,1,1,0.95682381,0.99288741
REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,GO_BP,0.920119924,0.484712671,0.27971079,0.795067545,0.045258185,0.99288741
REGULATION_OF_DNA_REPLICATION,GO_BP,0.825768985,0.484712671,1,0.945249496,0.510775683,0.99288741
CYTOPLASM_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.931578109,0.489146043,1,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_APOPTOSIS,GO_BP,0.897648961,0.489409054,0.417763624,0.98482921,0.96608502,0.99288741
X19228925_WATKINS_2009_CD8_CYTOTOXICT_MARKERS,CELL_TYPE_SPEC,0.78810285,0.489409054,1,0.98482921,2.92E-05,0.99288741
RESPONSE_TO_XENOBIOTIC_STIMULUS,GO_BP,0.708951602,0.489723813,1,0.98482921,0.623943131,0.99288741
X11493461_NAKAJIMA_MAST_CELL,CELL_TYPE_SPEC,0.966614399,0.496264181,1,0.930507969,0.95682381,0.99288741
MICROTUBULE_BASED_PROCESS,GO_BP,0.966614399,0.496264181,1,0.98482921,0.48183195,0.895730826
GLAND_DEVELOPMENT,GO_BP,0.966614399,0.497086897,0.499365808,0.98482921,0.95682381,0.99288741
APOPTOTIC_PROGRAM,GO_BP,0.776097085,0.497086897,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_ACTIN_FILAMENT_LENGTH,GO_BP,0.941282006,0.498652164,1,0.793515518,0.404167518,0.99288741
X17204602_ASSOU_2007_EMBRYONIC_STEM_META_CLUSTER,CELL_TYPE_SPEC,0.968446959,0.504679535,0.491864708,0.98482921,0.316508097,0.99288741
REGULATION_OF_PROGRAMMED_CELL_DEATH,GO_BP,0.966614399,0.504679535,0.784099091,0.98482921,0.95682381,0.99288741
DI___TRI_VALENT_INORGANIC_CATION_TRANSPORT,GO_BP,0.115129014,0.504679535,1,0.98482921,0.95682381,0.99288741
POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,GO_BP,0.679572234,0.504679535,1,1,0.780348557,0.084431825
PYRIMIDINE_NUCLEOTIDE_METABOLIC_PROCESS,GO_BP,0.966614399,0.504679535,1,1,0.95682381,0.99288741
SYSTEM_DEVELOPMENT,GO_BP,0.966614399,0.507829827,1,0.98482921,0.95682381,0.569659315
ACTIN_POLYMERIZATION_AND_OR_DEPOLYMERIZATION,GO_BP,0.688115629,0.509562527,1,0.792782518,0.95682381,0.99288741
REGULATION_OF_DEVELOPMENTAL_PROCESS,GO_BP,0.938210597,0.514435479,1,0.98482921,0.95682381,0.99288741
Galon 2006 (immunogenes),BRCA_PROG_SIG,0.867067671,0.514703216,1,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS,GO_BP,0.87451412,0.514703216,1,0.98482921,0.47948208,0.99288741
ANGIOGENESIS,GO_BP,0.966614399,0.514703216,1,0.98482921,0.95682381,0.551249401
DNA_DAMAGE_CHECKPOINT,GO_BP,0.966614399,0.514703216,1,0.948390937,0.438088378,0.99288741
PROTEIN_COMPLEX_ASSEMBLY,GO_BP,0.966614399,0.514703216,1,0.98482921,0.958815917,0.270372063
ER_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,GO_BP,0.969659776,0.528524705,1,0.98482921,0.360778048,0.99288741
KEGG_LYSOSOME,KEGG,0.966614399,0.528646877,0.72824978,0.792782518,0.95682381,0.784934244
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,KEGG,0.679572234,0.528646877,1,0.921833274,0.698663944,0.99288741
REPRODUCTIVE_PROCESS,GO_BP,0.966614399,0.537189855,0.105408802,0.98482921,0.136273733,4.13E-09
CELLULAR_RESPONSE_TO_STIMULUS,GO_BP,0.083892291,0.537189855,0.51037178,0.98482921,0.930221915,0.99288741
Kang 2003 (bone met),BRCA_PROG_SIG,0.83593455,0.537189855,1,0.763972432,0.958736459,0.99288741
AMINE_TRANSPORT,GO_BP,0.966614399,0.539514957,1,0.98482921,0.726306235,0.99288741
CELLULAR_RESPONSE_TO_STRESS,GO_BP,0.482833342,0.554435663,0.784099091,0.98482921,0.95682381,0.99288741
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,0.886448716,0.554435663,0.95899414,0.98482921,0.95682381,0.125771628
AXON_GUIDANCE,GO_BP,0.966614399,0.554435663,1,0.935751832,0.95682381,0.99288741
LOCOMOTORY_BEHAVIOR,GO_BP,0.966614399,0.554435663,1,0.98482921,0.561862656,0.99288741
CELLULAR_PROTEIN_CATABOLIC_PROCESS,GO_BP,0.966614399,0.563771324,0.925886005,1,0.236410371,0.99288741
KEGG_HUNTINGTONS_DISEASE,KEGG,0.901611285,0.574220291,1.35E-05,0.98482921,0.014677072,0.28100228
PEPTIDE_METABOLIC_PROCESS,GO_BP,0.393285733,0.574220291,1,1,0.95682381,0.99288741
Goldrath (immune memory),BRCA_PROG_SIG,0.966614399,0.576919412,0.854758988,0.98482921,0.95682381,0.99288741
Watkins 2009 (CD8 cytotoxic T),BRCA_PROG_SIG,0.859815442,0.576919412,1,0.98482921,0.153711956,0.99288741
Sabatier 2011 (basalL MBC),BRCA_PROG_SIG,0.966614399,0.576919412,1,0.98482921,0.958815917,1
REGULATION_OF_NEUROTRANSMITTER_LEVELS,GO_BP,0.966614399,0.576919412,1,0.98482921,0.154962374,0.99288741
REGULATION_OF_BINDING,GO_BP,0.966614399,0.579325963,0.665788792,0.98482921,0.448315855,0.04384996
ER-/her2E predictor,BRCA_PROG_SIG,0.966614399,0.579325963,1,0.638674016,0.337118303,0.99288741
NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,GO_BP,0.966614399,0.580542834,1,0.813512984,0.95682381,0.99288741
REGULATION_OF_DNA_BINDING,GO_BP,0.966614399,0.590661785,0.847772528,0.98482921,0.704508827,0.368393954
Juul 2010 (Paclitaxel response),BRCA_PROG_SIG,0.966614399,0.599990081,0.39435087,1,0.779956593,1
ER-/basalL predictor,BRCA_PROG_SIG,0.957077611,0.599990081,1,0.805513151,0.563090414,0.99288741
NUCLEOTIDE_METABOLIC_PROCESS,GO_BP,0.776097085,0.600624201,1,0.98482921,0.564728466,0.99288741
LIPOPROTEIN_METABOLIC_PROCESS,GO_BP,0.966614399,0.600624201,1,0.98482921,0.76891656,0.805361461
GLUCOSE_CATABOLIC_PROCESS,GO_BP,0.223716643,0.602556637,0.784099091,0.705138177,0.314001186,0.99288741
KEGG_BASE_EXCISION_REPAIR,KEGG,0.966614399,0.602556637,0.784099091,0.98482921,0.95682381,0.99288741
RESPONSE_TO_BIOTIC_STIMULUS,GO_BP,0.753442267,0.602556637,1,0.98482921,0.151808818,0.996934034
REGULATION_OF_PH,GO_BP,0.966614399,0.602556637,1,0.792782518,0.95682381,0.99288741
RESPONSE_TO_EXTERNAL_STIMULUS,GO_BP,0.968446959,0.602556637,1,0.638674016,0.932888842,0.99288741
NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,GO_BP,0.938210597,0.60898527,0.640646761,0.98482921,0.95682381,0.99288741
KEGG_HEDGEHOG_SIGNALING_PATHWAY,KEGG,0.528180684,0.60898527,1,0.228654057,0.798540201,0.99288741
APOPTOSIS_GO,GO_BP,0.966614399,0.60898527,1,0.98482921,0.95682381,0.99288741
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,KEGG,0.966614399,0.60898527,1,0.98482921,0.226573469,0.846752752
INTERPHASE_OF_MITOTIC_CELL_CYCLE,GO_BP,0.937127229,0.609103965,0.509532145,0.813512984,0.95682381,0.99288741
PIGMENT_METABOLIC_PROCESS,GO_BP,0.966614399,0.609103965,0.512246109,0.98482921,0.95682381,0.99288741
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG,0.966614399,0.616607694,0.023458773,0.342535685,0.020934101,0.706733545
DOUBLE_STRAND_BREAK_REPAIR,GO_BP,0.837510698,0.618757779,1,0.98482921,0.95682381,0.99288741
REPRODUCTION,GO_BP,0.727470152,0.619776377,0.262838394,0.98482921,0.182304854,1.12E-07
CELLULAR_DEFENSE_RESPONSE,GO_BP,0.966614399,0.621885075,0.022199957,0.19449365,0.401045407,0.99288741
KEGG_RNA_POLYMERASE,KEGG,0.966614399,0.623843558,0.00249147,0.98482921,0.401045407,0.99288741
RESPONSE_TO_OTHER_ORGANISM,GO_BP,0.506401588,0.62700291,1,0.98482921,0.352720346,0.99288741
PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT,GO_BP,0.953256425,0.630053088,1,0.98482921,0.95682381,0.339456741
STEROID_BIOSYNTHETIC_PROCESS,GO_BP,0.776097085,0.638773128,0.779519401,0.98482921,0.95682381,0.99288741
ENDOTHELIAL_CELL_PROLIFERATION,GO_BP,0.966614399,0.638980654,1,0.98482921,0.95682381,0.057128904
INTERPHASE,GO_BP,0.6098786,0.641403982,0.854758988,0.98482921,0.95682381,0.99288741
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,0.931578109,0.651427282,1,0.04457292,0.95682381,0.99288741
PROTEOLYSIS,GO_BP,0.969755793,0.658400684,0.706578443,0.378292307,0.95682381,0.99288741
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,0.482833342,0.658400684,1,0.638674016,0.749260095,0.99288741
CELL_DEVELOPMENT,GO_BP,0.956523479,0.661311361,0.721311063,0.98482921,0.95682381,0.99288741
REGULATION_OF_TRANSCRIPTION_FACTOR_ACTIVITY,GO_BP,0.966614399,0.669385427,0.643308613,0.98482921,0.95682381,0.418973208
NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS,GO_BP,0.87451412,0.669385427,1,0.822080684,0.456960445,0.765198178
LIPOPROTEIN_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.669385427,1,0.98482921,0.95682381,0.99288741
MICROTUBULE_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.966614399,0.669385427,1,0.98482921,0.146847649,0.949689743
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,KEGG,0.966614399,0.669385427,1,0.98482921,0.956063248,0.99288741
REGULATION_OF_RHO_GTPASE_ACTIVITY,GO_BP,0.966614399,0.672643647,0.04028714,1,0.424007416,1
MUSCLE_DEVELOPMENT,GO_BP,0.876538046,0.672643647,1,0.805513151,0.95682381,0.290692238
Galon 2006 (Th1 adaptive immunity),BRCA_PROG_SIG,0.966614399,0.673375772,0.854758988,1,0.95682381,0.415025806
TRIACYLGLYCEROL_METABOLIC_PROCESS,GO_BP,0.416302449,0.673375772,1,0.98482921,1,0.99288741
CASPASE_ACTIVATION,GO_BP,0.731017251,0.67574389,0.640646761,0.801315952,0.95682381,0.99288741
REGULATION_OF_HYDROLASE_ACTIVITY,GO_BP,0.787492688,0.682095202,0.933452754,0.98482921,0.95682381,0.99288741
REGULATION_OF_CELL_CELL_ADHESION,GO_BP,0.903098893,0.686111147,0.491864708,0.619126726,0.95682381,0.99288741
KEGG_ADHERENS_JUNCTION,KEGG,0.966614399,0.686111147,0.51037178,0.98482921,0.95682381,0.99288741
Rody 2009 (lymphocyte specific kinase),BRCA_PROG_SIG,0.40892065,0.687370907,0.640646761,0.98482921,1.57E-19,0.176684518
REGULATION_OF_TRANSLATION,GO_BP,0.935619681,0.688246985,1,0.98482921,0.000338086,0.99288741
X21625507_LUCIANI_2011,CELL_TYPE_SPEC,0.966614399,0.688246985,1,0.98482921,0.780348557,0.490130041
VESICLE_MEDIATED_TRANSPORT,GO_BP,0.966614399,0.688246985,1,0.059155862,0.95682381,0.99288741
ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,GO_BP,0.966614399,0.69426387,0.625943431,0.98482921,0.95682381,0.99288741
DNA_RECOMBINATION,GO_BP,0.936667652,0.701560988,0.610313921,0.98482921,0.95682381,0.99288741
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,KEGG,0.878139032,0.701560988,0.791653796,0.98482921,0.95682381,0.99288741
POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,GO_BP,0.931578109,0.702335673,1,0.98482921,0.95682381,0.99288741
MORPHOGENESIS_OF_AN_EPITHELIUM,GO_BP,0.966614399,0.7048879,0.089831416,0.814761871,0.003647299,0.06543404
SYNAPTIC_TRANSMISSION,GO_BP,0.247093029,0.7048879,0.264161494,0.033016143,0.138758563,0.011450906
NUCLEOTIDE_EXCISION_REPAIR,GO_BP,0.966614399,0.7048879,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,GO_BP,0.966614399,0.708882606,1,1,0.151808818,1
RESPONSE_TO_HORMONE_STIMULUS,GO_BP,0.321643476,0.712293792,1,0.98482921,0.95682381,0.99288741
lumA predictor,BRCA_PROG_SIG,0.966614399,0.712324257,0.591772692,0.98482921,0.95682381,0.99288741
COFACTOR_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.712324257,1,0.683651798,0.95682381,0.99288741
ORGANELLE_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.556177792,0.71306985,1,0.98482921,0.95682381,0.99288741
EMBRYONIC_DEVELOPMENT,GO_BP,0.966614399,0.729331699,0.735750867,0.98482921,0.95682381,0.99288741
REGULATION_OF_BODY_FLUID_LEVELS,GO_BP,0.966614399,0.731630637,1,0.98482921,0.696145606,0.99288741
Vanlaere 2008 (IBC signature),BRCA_PROG_SIG,0.966614399,0.737886676,1,0.98482921,0.464125555,0.99288741
HEMOPOIESIS,GO_BP,0.966614399,0.739742573,0.665788792,0.98482921,0.302993781,0.99288741
RESPONSE_TO_ORGANIC_SUBSTANCE,GO_BP,0.770514742,0.749090906,1,0.98482921,0.95682381,0.765198178
PROTEIN_CATABOLIC_PROCESS,GO_BP,0.966614399,0.755679123,0.870182212,0.763972432,0.119735719,0.99288741
ACTIVATION_OF_JNK_ACTIVITY,GO_BP,0.966614399,0.755679123,1,0.98482921,0.95682381,0.99288741
GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.755679123,1,0.98482921,0.95682381,0.99288741
PHOSPHOINOSITIDE_METABOLIC_PROCESS,GO_BP,0.966614399,0.755679123,1,0.98482921,0.95682381,0.99288741
MONOVALENT_INORGANIC_CATION_HOMEOSTASIS,GO_BP,0.948392385,0.75656197,1,0.710947971,0.95682381,0.99288741
X21131600_CAMP_2010_BASAL,CELL_TYPE_SPEC,0.966614399,0.760385735,1,0.98482921,0.95682381,0.99288741
MEIOTIC_RECOMBINATION,GO_BP,0.968167323,0.760533786,0.629617085,0.98482921,0.95682381,0.805361461
REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,GO_BP,0.966614399,0.760533786,1,0.98482921,0.295431049,0.99288741
Bos 2009 (brain met human),BRCA_PROG_SIG,0.486329839,0.764189079,1,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS,GO_BP,0.679572234,0.764189079,1,0.98482921,0.95682381,0.425396386
MITOTIC_CELL_CYCLE_CHECKPOINT,GO_BP,0.966614399,0.764189079,1,0.98482921,0.69613134,0.704899697
MONOCARBOXYLIC_ACID_TRANSPORT,GO_BP,0.966614399,0.764189079,1,0.506064378,0.95682381,1
PROTEIN_TARGETING_TO_MITOCHONDRION,GO_BP,0.966614399,0.766071265,0.784099091,0.98482921,1,0.99288741
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG,0.362955133,0.766071265,1,0.98482921,0.95682381,0.99288741
SUPEROXIDE_METABOLIC_PROCESS,GO_BP,0.966614399,0.766071265,1,0.98482921,0.580640064,1
REGULATION_OF_GTPASE_ACTIVITY,GO_BP,0.776097085,0.768551062,2.45E-06,0.98482921,0.155670303,0.99288741
Vantveer 2002 (MammaPrint),BRCA_PROG_SIG,0.966614399,0.76894863,0.665788792,0.390694756,0.358763984,0.853521112
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,0.966614399,0.773378928,1,0.00261516,0.147950603,0.99288741
INDUCTION_OF_APOPTOSIS_BY_EXTRACELLULAR_SIGNALS,GO_BP,0.970662519,0.773378928,1,0.98482921,0.880638212,0.722042549
VIRAL_REPRODUCTIVE_PROCESS,GO_BP,0.970662519,0.776252295,0.651269563,0.98482921,0.95682381,0.059366027
SKELETAL_MUSCLE_DEVELOPMENT,GO_BP,0.742811901,0.776252295,0.924767643,0.98482921,0.438088378,0.99288741
Ayers 2004 (pCR elevated),BRCA_PROG_SIG,0.152680068,0.776252295,1,0.98482921,0.958815917,0.99288741
MULTI_ORGANISM_PROCESS,GO_BP,0.528180684,0.776252295,1,0.993769472,0.502134583,0.99288741
REGULATION_OF_ANGIOGENESIS,GO_BP,0.921214209,0.776252295,1,0.98482921,0.628897187,0.008049947
REGULATION_OF_HOMEOSTATIC_PROCESS,GO_BP,0.931578109,0.776252295,1,0.003127055,0.95682381,0.99288741
REGULATION_OF_CELLULAR_PH,GO_BP,0.933798695,0.776252295,1,0.837361293,0.95682381,1
INTERLEUKIN_8_PRODUCTION,GO_BP,0.966614399,0.776252295,1,0.805513151,0.197308286,0.99288741
KEGG_BETA_ALANINE_METABOLISM,KEGG,0.966614399,0.776252295,1,0.98482921,0.95682381,0.99288741
RESPONSE_TO_HYPOXIA,GO_BP,0.966614399,0.77773551,1,0.98482921,0.95682381,0.99288741
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,KEGG,0.966614399,0.77773551,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_RAS_GTPASE_ACTIVITY,GO_BP,0.966614399,0.782399895,0.067336886,1,0.427989782,1
DEVELOPMENTAL_MATURATION,GO_BP,0.061268797,0.785956761,0.281756583,0.98482921,0.892882179,0.99288741
MACROMOLECULE_CATABOLIC_PROCESS,GO_BP,0.966614399,0.802445993,0.312612685,0.98482921,0.25652464,0.99288741
Saal 2007 (PTEN pathway),BRCA_PROG_SIG,0.966614399,0.80379332,5.18E-05,0.98482921,0.491477901,0.99288741
CELLULAR_MORPHOGENESIS_DURING_DIFFERENTIATION,GO_BP,0.966614399,0.804209783,1,0.805060402,1,0.99288741
NUCLEOTIDE_SUGAR_METABOLIC_PROCESS,GO_BP,0.966614399,0.804209783,1,0.98482921,0.95682381,0.99288741
KEGG_ASTHMA,KEGG,0.716415022,0.805337966,0.391955179,0.98482921,0.95682381,0.99288741
PROTEIN_PROCESSING,GO_BP,0.956084575,0.805337966,0.783625607,0.98482921,0.854069755,0.99288741
ORGAN_DEVELOPMENT,GO_BP,0.966614399,0.805337966,0.924767643,0.921833274,0.95682381,0.99288741
REGULATION_OF_APOPTOSIS,GO_BP,0.966614399,0.805337966,0.935162429,0.98482921,0.95682381,1
AXONOGENESIS,GO_BP,0.966614399,0.805337966,1,0.98482921,0.95682381,0.99288741
CYTOKINE_AND_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY,GO_BP,0.859815442,0.807907592,1,0.98482921,0.95682381,0.779778923
DNA_PACKAGING,GO_BP,0.966614399,0.809327176,0.467675823,0.860528234,0.787652918,0.99288741
AMINO_ACID_TRANSPORT,GO_BP,0.760416777,0.81562135,1,0.98482921,0.445841349,0.99288741
VIRAL_INFECTIOUS_CYCLE,GO_BP,0.966614399,0.818580116,0.587944114,0.98482921,0.95682381,0.547562354
Dairkee 2007 (oxidative stress),BRCA_PROG_SIG,0.968446959,0.823579831,0.19779186,0.98482921,0.704508827,0.99288741
HER2+ predictor,BRCA_PROG_SIG,0.966614399,0.823579831,0.262838394,0.98482921,0.95682381,0.99288741
HOMEOSTASIS_OF_NUMBER_OF_CELLS,GO_BP,0.935619681,0.823579831,0.345960234,0.805513151,0.110301513,0.99288741
X19228925_WATKINS_2009_CD14_MONOCYTE_MARKERS,CELL_TYPE_SPEC,0.966614399,0.823579831,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_PROTEIN_KINASE_ACTIVITY,GO_BP,0.966614399,0.823579831,1,0.98482921,0.95682381,0.99288741
Naderi 2006 (70 genes),BRCA_PROG_SIG,0.115129014,0.824640244,0.13447459,0.98482921,0.074046257,0.99288741
PHOSPHOINOSITIDE_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.829871547,1,0.98482921,0.95682381,0.99288741
X19228925_WATKINS_2009_CD56_NK_MARKERS,CELL_TYPE_SPEC,0.966614399,0.830034285,0.65028346,0.986005804,0.95682381,0.750801685
NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT,GO_BP,0.921214209,0.831250164,0.427350069,0.98482921,0.95682381,0.99288741
SYSTEM_PROCESS,GO_BP,0.042738488,0.831250164,0.446388791,0.98482921,0.040858589,0.005889819
POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY,GO_BP,0.502507753,0.831250164,1,0.98482921,0.95682381,0.666477619
Minn 2005 (lung met 95 genes),BRCA_PROG_SIG,0.528588729,0.831250164,1,0.805513151,0.95682381,0.166880268
REGULATION_OF_JNK_ACTIVITY,GO_BP,0.90705619,0.831250164,1,0.98482921,0.95682381,0.913267672
Tosolini 2001 (B1 Th2),BRCA_PROG_SIG,0.966614399,0.831250164,1,0.98482921,1,1
ER+/basalL predictor,BRCA_PROG_SIG,0.87451412,0.83389681,0.604633842,1,0.95682381,0.99288741
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,KEGG,0.792573004,0.83389681,0.784099091,0.98482921,0.95682381,0.28100228
KEGG_PRION_DISEASES,KEGG,0.715573752,0.83389681,1,0.956891426,0.95682381,0.99288741
FEMALE_PREGNANCY,GO_BP,0.776097085,0.83389681,1,0.98482921,0.386329257,0.136505933
REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,GO_BP,0.966614399,0.83389681,1,0.98482921,0.95682381,0.99288741
VIRAL_REPRODUCTION,GO_BP,0.968699372,0.83389681,1,0.98482921,0.95682381,0.103870783
MEMBRANE_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.966614399,0.839880503,1,0.98482921,0.958736459,0.99288741
PROTEIN_METABOLIC_PROCESS,GO_BP,0.966614399,0.846502101,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,GO_BP,0.966614399,0.846502101,1,0.98482921,0.95682381,0.766617555
REGULATION_OF_MUSCLE_CONTRACTION,GO_BP,0.966614399,0.846502101,1,0.916489779,0.824220961,0.265418284
REGULATION_OF_MITOTIC_CELL_CYCLE,GO_BP,0.966614399,0.852345314,0.029365716,0.282333228,0.95682381,0.99288741
CELLULAR_CATABOLIC_PROCESS,GO_BP,0.247093029,0.852345314,1,0.991372147,0.785346923,0.99288741
BIOSYNTHETIC_PROCESS,GO_BP,0.688115629,0.852345314,1,0.683651798,0.25652464,1
X24068959_RAJARAM_2013,CELL_TYPE_SPEC,0.966614399,0.852345314,1,0.98482921,0.074431479,1
INTERCELLULAR_JUNCTION_ASSEMBLY_AND_MAINTENANCE,GO_BP,0.966614399,0.852345314,1,0.98482921,0.95682381,0.99288741
PROTEIN_AMINO_ACID_LIPIDATION,GO_BP,0.966614399,0.852345314,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_TRANSFERASE_ACTIVITY,GO_BP,0.966614399,0.852345314,1,0.98482921,0.944687853,0.99288741
X11279020_LENAOUR_DENDRITIC_CELL_MATURATION,CELL_TYPE_SPEC,0.243659125,0.852976074,1,1,0.964179203,0.99288741
KEGG_DILATED_CARDIOMYOPATHY,KEGG,0.897648961,0.852976074,1,0.98482921,0.628897187,0.023037127
MULTICELLULAR_ORGANISMAL_DEVELOPMENT,GO_BP,0.966614399,0.852976074,1,0.98482921,0.95682381,0.418973208
NUCLEAR_EXPORT,GO_BP,0.966614399,0.852976074,1,0.98482921,0.95682381,1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,KEGG,0.966614399,0.852976074,1,0.98482921,0.825171333,0.99288741
KEGG Antigen Processing and Presentation,BRCA_PROG_SIG,0.966614399,0.856967068,1,0.109798404,0.068460229,0.99288741
ACTIN_FILAMENT_BASED_MOVEMENT,GO_BP,0.966614399,0.858683521,1,0.98482921,1,1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG,0.966614399,0.859093802,0.721311063,0.98482921,0.95682381,0.99288741
Cheang 2008 (TN prognostic predictor),BRCA_PROG_SIG,0.33493139,0.862663498,0.48776444,0.792782518,0.00527132,0.418973208
PROTEIN_AUTOPROCESSING,GO_BP,0.920119924,0.862663498,0.884938566,0.98482921,0.466883063,0.99288741
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG,0.837510698,0.862663498,1,0.98482921,0.456960445,0.99288741
