	NormDegree	StromaNorm	EpiNorm	BrPDegree	StromaBrP	EpiBrP	BrNDegree	StromaBrN	EpiBrN	norm.self	erp.self	ern.self
ZNF544	7	5	2	0	0	0	0	0	0	0	0	0
ARL8B	5	5	0	0	0	0	0	0	0	0	0	0
HNRNPA2B1	14	13	1	0	0	0	0	0	0	0	0	0
MAP3K7	2	2	0	1	1	0	0	0	0	0	0	0
AP2S1	2	2	0	0	0	0	1	1	0	0	0	0
SLC26A1	4	4	0	1	0	1	0	0	0	0	0	0
FBXW2	1	1	0	0	0	0	0	0	0	0	0	0
SUCLG1	3	3	0	3	0	3	3	3	0	0	0	0
LUZP1	1	1	0	1	1	0	0	0	0	0	0	0
MDK	2	1	1	0	0	0	1	1	0	0	0	0
SIRT3	1	1	0	1	1	0	1	0	1	0	0	0
ARHGAP15	2	2	0	0	0	0	1	0	1	0	0	0
CGRRF1	2	2	0	0	0	0	0	0	0	0	0	0
C1orf115	4	3	1	4	2	2	1	0	1	0	0	0
INHBA	9	9	0	2	1	1	0	0	0	0	0	0
RNF40	3	3	0	1	1	0	2	0	2	0	0	0
TTI1	4	4	0	2	2	0	1	1	0	0	0	0
IFNG	13	13	0	1	0	1	2	1	1	0	0	0
WDR62	6	6	0	3	2	1	0	0	0	0	0	0
F11	10	10	0	1	0	1	0	0	0	0	0	0
SMC2	4	4	0	1	1	0	2	1	1	0	0	0
C7orf25	5	2	3	1	1	0	1	1	0	0	0	0
TTC17	3	3	0	0	0	0	0	0	0	0	0	0
COPS5	3	2	1	0	0	0	4	3	1	0	0	0
HAPLN2	2	1	1	1	1	0	1	0	1	0	0	0
CLEC5A	6	5	1	3	3	0	1	0	1	0	0	0
CDKAL1	1	1	0	0	0	0	2	1	1	0	0	0
EDN1	1	1	0	1	0	1	3	2	1	0	0	0
ZNF124	2	1	1	0	0	0	0	0	0	0	0	0
TMCC1	3	2	1	1	1	0	3	0	3	0	0	0
SPATS2	3	2	1	0	0	0	0	0	0	0	0	0
SIK2	1	1	0	0	0	0	1	1	0	0	0	0
MYOZ2	18	1	17	2	1	1	17	16	1	0	0	0
SYT13	6	6	0	2	2	0	0	0	0	0	0	0
NPEPL1	2	2	0	2	2	0	0	0	0	0	0	0
DERL2	4	4	0	0	0	0	0	0	0	0	0	0
GSPT1	2	1	1	2	1	1	1	1	0	0	0	0
MYEF2	5	2	3	0	0	0	2	0	2	0	0	0
HOXC4	5	5	0	2	0	2	0	0	0	0	0	0
FAH	2	2	0	1	1	0	0	0	0	0	0	0
RBM4B	2	2	0	0	0	0	0	0	0	0	0	0
ABHD14A	1	1	0	5	1	4	1	0	1	0	0	0
CDCA3	9	5	4	2	0	2	0	0	0	0	0	0
YIPF3	1	1	0	5	1	4	0	0	0	0	0	0
NKIRAS2	7	7	0	0	0	0	1	0	1	0	0	0
PZP	9	5	4	0	0	0	1	0	1	0	0	0
SRM	5	1	4	0	0	0	1	0	1	0	0	0
ZNF701	4	1	3	2	2	0	4	1	3	0	0	0
USP5	1	1	0	4	0	4	1	0	1	0	0	0
ZBTB20	2	2	0	1	1	0	1	0	1	0	0	0
SYNE2	1	1	0	2	0	2	1	1	0	0	0	0
MAGEF1	1	1	0	0	0	0	3	2	1	0	0	0
MATN1	3	1	2	0	0	0	3	0	3	0	0	0
NLRP1	3	1	2	1	1	0	0	0	0	0	0	0
VIL1	5	4	1	1	1	0	3	2	1	0	0	0
GDI1	5	5	0	3	3	0	0	0	0	0	0	0
CD97	1	1	0	1	1	0	0	0	0	0	0	0
STATH	3	2	1	3	3	0	4	2	2	0	0	0
MGMT	3	3	0	2	0	2	1	1	0	0	0	0
CNGA1	6	4	2	0	0	0	0	0	0	0	0	0
TM2D1	4	4	0	0	0	0	0	0	0	0	0	0
HIST3H3	1	1	0	1	0	1	0	0	0	0	0	0
CTSE	2	2	0	0	0	0	0	0	0	0	0	0
LAMA1	3	1	2	0	0	0	1	1	0	0	0	0
TUT1	2	2	0	0	0	0	0	0	0	0	0	0
SIK3	3	2	1	0	0	0	0	0	0	0	0	0
LIG4	4	4	0	4	0	4	0	0	0	0	0	0
ANK1	1	1	0	3	1	2	0	0	0	0	0	0
ACSM2A	2	1	1	2	1	1	0	0	0	0	0	0
TRAF3	3	3	0	0	0	0	0	0	0	0	0	0
STAT4	11	7	4	4	4	0	2	2	0	0	0	0
SUPT3H	6	6	0	0	0	0	0	0	0	0	0	0
DYRK2	3	2	1	1	0	1	2	0	2	0	0	0
TAPT1	1	1	0	0	0	0	3	0	3	0	0	0
ATP2C2	1	1	0	1	1	0	2	1	1	0	0	0
LILRA4	3	1	2	4	2	2	1	0	1	0	0	0
ZNF512B	7	6	1	1	1	0	0	0	0	0	0	0
ARPC3	3	3	0	0	0	0	0	0	0	0	0	0
SLC25A10	5	5	0	0	0	0	0	0	0	0	0	0
ATOH1	3	3	0	2	0	2	4	1	3	0	0	0
HTRA1	3	2	1	0	0	0	2	0	2	0	0	0
STARD7	4	3	1	2	1	1	2	1	1	0	0	0
ZBP1	6	6	0	3	1	2	0	0	0	0	0	0
UPF2	4	2	2	0	0	0	0	0	0	0	0	0
HES2	4	4	0	0	0	0	0	0	0	0	0	0
SLC13A1	3	3	0	1	0	1	3	0	3	0	0	0
IL10RA	2	1	1	1	1	0	0	0	0	0	0	0
SI	9	9	0	4	4	0	0	0	0	0	0	0
DCLRE1B	2	2	0	0	0	0	1	0	1	0	0	0
AKAP8L	1	1	0	1	0	1	1	1	0	0	0	0
UCHL5	1	1	0	4	3	1	1	0	1	0	0	0
CPE	1	1	0	1	1	0	1	0	1	0	0	0
MTA2	6	6	0	1	0	1	0	0	0	0	0	0
TEAD1	8	7	1	1	1	0	0	0	0	0	0	0
ASTE1	9	7	2	0	0	0	2	2	0	0	0	0
NKX6.1	10	1	9	0	0	0	0	0	0	0	0	0
CCR10	2	1	1	5	3	2	0	0	0	0	0	0
TXNRD1	1	1	0	0	0	0	0	0	0	0	0	0
ZC3HAV1	5	5	0	0	0	0	0	0	0	0	0	0
OTUB1	2	2	0	3	2	1	0	0	0	0	0	0
RSG1	3	2	1	0	0	0	0	0	0	0	0	0
AP1S1	9	6	3	1	1	0	1	1	0	0	0	0
SLC16A8	2	2	0	0	0	0	0	0	0	0	0	0
BZW1	1	1	0	0	0	0	1	1	0	0	0	0
CD72	12	9	3	0	0	0	1	0	1	0	0	0
SPG21	1	1	0	0	0	0	1	1	0	0	0	0
CHRND	10	7	3	0	0	0	5	4	1	0	0	0
C4BPB	8	5	3	7	6	1	0	0	0	0	0	0
ZNF215	1	1	0	1	1	0	0	0	0	0	0	0
PAGE4	1	1	0	0	0	0	17	9	8	0	0	0
HAAO	4	4	0	1	0	1	0	0	0	0	0	0
C9orf78	1	1	0	0	0	0	2	2	0	0	0	0
ZAP70	11	1	10	0	0	0	0	0	0	0	0	0
CNNM2	2	1	1	2	0	2	1	0	1	0	0	0
PEX10	3	1	2	0	0	0	0	0	0	0	0	0
TXNDC5	1	1	0	2	1	1	0	0	0	0	0	0
LZTR1	5	5	0	1	0	1	2	0	2	0	0	0
SCARB2	1	1	0	1	0	1	1	1	0	0	0	0
ATP6V1D	1	1	0	1	1	0	0	0	0	0	0	0
TAL1	1	1	0	3	1	2	2	1	1	0	0	0
IGLL1	3	3	0	1	0	1	8	0	8	0	0	0
NOL12	5	5	0	1	0	1	0	0	0	0	0	0
MYD88	2	2	0	0	0	0	0	0	0	0	0	0
IGFBP6	8	8	0	1	1	0	9	5	4	0	0	0
LRTM1	1	1	0	3	2	1	0	0	0	0	0	0
CD2BP2	3	3	0	0	0	0	0	0	0	0	0	0
CCL18	4	3	1	24	0	24	0	0	0	0	0	0
PLCL2	1	1	0	0	0	0	3	3	0	0	0	0
PRR14	3	3	0	2	1	1	2	1	1	0	0	0
SRSF3	3	2	1	1	1	0	0	0	0	0	0	0
MMP8	2	2	0	0	0	0	5	0	5	0	0	0
KEL	2	2	0	0	0	0	2	0	2	0	0	0
ATXN2	1	1	0	0	0	0	1	0	1	0	0	0
PDE11A	3	2	1	0	0	0	8	6	2	0	0	0
TPPP	2	2	0	0	0	0	0	0	0	0	0	0
UBE3B	1	1	0	1	1	0	1	1	0	0	0	0
SLC26A10	2	2	0	0	0	0	0	0	0	0	0	0
SGPP1	5	5	0	1	0	1	0	0	0	0	0	0
RNPEPL1	6	6	0	0	0	0	0	0	0	0	0	0
CTR9	1	1	0	2	2	0	0	0	0	0	0	0
USP9Y	1	1	0	0	0	0	4	3	1	0	0	0
NAT2	1	1	0	0	0	0	2	1	1	0	0	0
COMT	4	3	1	0	0	0	0	0	0	0	0	0
AMPD2	1	1	0	4	1	3	0	0	0	0	0	0
DNAH9	3	3	0	1	1	0	0	0	0	0	0	0
ARSD	1	1	0	2	2	0	0	0	0	0	0	0
UBA52	2	2	0	0	0	0	4	4	0	0	0	0
A2M	2	2	0	1	0	1	3	3	0	0	0	0
MAPK8IP3	3	3	0	1	1	0	0	0	0	0	0	0
IL4	3	3	0	0	0	0	0	0	0	0	0	0
DOPEY1	1	1	0	3	1	2	0	0	0	0	0	0
DCAF15	2	2	0	3	0	3	0	0	0	0	0	0
RGS19	3	1	2	1	0	1	0	0	0	0	0	0
ESM1	5	5	0	0	0	0	0	0	0	0	0	0
TIMM8B	4	4	0	1	0	1	1	0	1	0	0	0
ATMIN	4	3	1	0	0	0	0	0	0	0	0	0
MSH6	1	1	0	0	0	0	8	1	7	0	0	0
ERF	2	1	1	2	0	2	1	1	0	0	0	0
SCMH1	4	1	3	2	2	0	0	0	0	0	0	0
FRAT1	19	4	15	5	0	5	0	0	0	0	0	0
SLC1A2	2	2	0	26	23	3	0	0	0	0	0	0
RDBP	1	1	0	0	0	0	4	4	0	0	0	0
G6PD	2	1	1	1	0	1	0	0	0	0	0	0
CCT5	1	1	0	0	0	0	4	3	1	0	0	0
RAB2A	1	1	0	0	0	0	0	0	0	0	0	0
FAT1	1	1	0	1	1	0	0	0	0	0	0	0
TLL2	2	1	1	0	0	0	2	0	2	0	0	0
SNRNP70	2	2	0	4	2	2	1	1	0	0	0	0
PI4KB	3	1	2	0	0	0	1	0	1	0	0	0
MARCKSL1	2	2	0	2	1	1	5	4	1	0	0	0
GNAT1	3	3	0	1	0	1	0	0	0	0	0	0
HRAS	2	1	1	1	0	1	2	0	2	0	0	0
DIRAS3	15	15	0	0	0	0	0	0	0	0	0	0
HMBS	1	1	0	0	0	0	2	0	2	0	0	0
PPP1R12A	1	1	0	0	0	0	0	0	0	0	0	0
CDRT1	4	2	2	1	1	0	0	0	0	0	0	0
DEDD	2	1	1	1	1	0	1	0	1	0	0	0
GAB1	3	1	2	0	0	0	7	7	0	0	0	0
TTBK2	4	4	0	1	0	1	0	0	0	0	0	0
ZNF768	3	1	2	0	0	0	2	0	2	0	0	0
ASCC2	3	3	0	0	0	0	0	0	0	0	0	0
JAG1	1	1	0	0	0	0	0	0	0	0	0	0
CRX	10	10	0	1	0	1	0	0	0	0	0	0
FEN1	5	3	2	10	5	5	14	13	1	0	0	0
TTC37	4	1	3	10	0	10	2	0	2	0	0	0
PF4	6	2	4	0	0	0	0	0	0	0	0	0
LANCL1	1	1	0	1	1	0	0	0	0	0	0	0
RBM6	1	1	0	1	0	1	0	0	0	0	0	0
S100A1	1	1	0	0	0	0	2	2	0	0	0	0
OR51E2	1	1	0	0	0	0	0	0	0	0	0	0
HCK	1	1	0	5	5	0	0	0	0	0	0	0
DNAJC7	2	2	0	2	2	0	0	0	0	0	0	0
SLC29A1	1	1	0	0	0	0	0	0	0	0	0	0
RAB1A	3	2	1	1	1	0	1	0	1	0	0	0
ACSM1	2	1	1	0	0	0	0	0	0	0	0	0
SLC22A8	1	1	0	9	0	9	0	0	0	0	0	0
PURG	1	1	0	1	1	0	1	0	1	0	0	0
ADAP2	2	1	1	0	0	0	0	0	0	0	0	0
OR10J1	3	1	2	0	0	0	0	0	0	0	0	0
ACAP1	6	3	3	0	0	0	1	0	1	0	0	0
LRAT	2	2	0	1	1	0	0	0	0	0	0	0
MUC16	4	2	2	7	7	0	1	1	0	0	0	0
PEX14	5	2	3	1	0	1	3	2	1	0	0	0
PITPNM1	1	1	0	0	0	0	0	0	0	0	0	0
RALYL	1	1	0	6	3	3	3	2	1	0	0	0
MUL1	7	5	2	1	0	1	0	0	0	0	0	0
GCNT2	5	5	0	0	0	0	0	0	0	0	0	0
MRPL20	2	1	1	0	0	0	1	0	1	0	0	0
CXCL12	2	1	1	1	0	1	3	0	3	0	0	0
NHLRC2	1	1	0	2	1	1	0	0	0	0	0	0
ZDHHC18	5	4	1	1	0	1	0	0	0	0	0	0
GCGR	6	3	3	0	0	0	1	0	1	0	0	0
IL15	1	1	0	5	3	2	1	1	0	0	0	0
GPX2	1	1	0	1	1	0	1	0	1	0	0	0
ADAM20	1	1	0	1	0	1	3	0	3	0	0	0
IGFBP7	6	6	0	0	0	0	0	0	0	0	0	0
ATP6V0C	4	3	1	3	0	3	0	0	0	0	0	0
MAZ	3	1	2	1	0	1	0	0	0	0	0	0
CYP2C8	4	4	0	0	0	0	0	0	0	0	0	0
CLEC16A	1	1	0	0	0	0	1	1	0	0	0	0
RBM17	1	1	0	0	0	0	0	0	0	0	0	0
PLA2G7	2	2	0	2	1	1	4	4	0	0	0	0
EGFL6	8	4	4	0	0	0	0	0	0	0	0	0
MBIP	1	1	0	0	0	0	0	0	0	0	0	0
TMEM187	3	1	2	1	1	0	1	1	0	0	0	0
PTH2R	3	3	0	1	1	0	0	0	0	0	0	0
BST1	3	3	0	0	0	0	0	0	0	0	0	0
PTPN6	6	6	0	0	0	0	5	0	5	0	0	0
IL32	11	4	7	3	0	3	6	4	2	0	0	0
GAB2	2	1	1	3	1	2	0	0	0	0	0	0
PRKCSH	7	4	3	6	6	0	2	1	1	0	0	0
MMRN1	3	3	0	1	0	1	6	0	6	0	0	0
GPBP1L1	2	2	0	0	0	0	0	0	0	0	0	0
LCMT1	2	2	0	0	0	0	1	0	1	0	0	0
ITGB8	1	1	0	0	0	0	1	0	1	0	0	0
CLIC5	4	4	0	1	0	1	0	0	0	0	0	0
PPP2R5D	3	3	0	1	0	1	1	0	1	0	0	0
SACM1L	1	1	0	1	0	1	1	0	1	0	0	0
FANCF	2	2	0	0	0	0	5	5	0	0	0	0
C8orf44	3	2	1	1	0	1	0	0	0	0	0	0
CXCR7	1	1	0	0	0	0	1	1	0	0	0	0
NDUFB7	2	2	0	3	3	0	2	2	0	0	0	0
C1orf103	13	3	10	1	0	1	1	1	0	0	0	0
SLC22A18AS	2	2	0	1	1	0	1	0	1	0	0	0
ADARB2	2	2	0	0	0	0	4	0	4	0	0	0
ST7L	2	2	0	3	3	0	0	0	0	0	0	0
KIAA0319L	2	2	0	3	2	1	0	0	0	0	0	0
ZNHIT1	2	1	1	0	0	0	6	1	5	0	0	0
ATXN2L	3	1	2	0	0	0	0	0	0	0	0	0
HIST1H1E	4	3	1	0	0	0	0	0	0	0	0	0
GGA1	1	1	0	1	1	0	0	0	0	0	0	0
OR1A1	1	1	0	0	0	0	5	3	2	0	0	0
CLDN14	14	1	13	0	0	0	0	0	0	0	0	0
RAD52	2	2	0	0	0	0	0	0	0	0	0	0
BOK	11	8	3	1	0	1	0	0	0	1	0	0
RPL22	1	1	0	1	1	0	1	1	0	0	0	0
ADRB3	1	1	0	3	0	3	2	1	1	0	0	0
GPR6	7	6	1	2	1	1	0	0	0	0	0	0
SELL	5	2	3	0	0	0	1	0	1	0	0	0
SLC16A3	2	1	1	0	0	0	0	0	0	0	0	0
ANP32C	1	1	0	1	0	1	0	0	0	0	0	0
GBF1	1	1	0	0	0	0	0	0	0	0	0	0
ADRA2A	2	2	0	0	0	0	5	5	0	0	0	0
RXRG	3	2	1	1	1	0	0	0	0	0	0	0
PRDM13	3	3	0	8	0	8	3	0	3	0	0	0
DAZL	4	2	2	0	0	0	10	2	8	0	0	0
ADAMTSL2	2	2	0	1	1	0	0	0	0	0	0	0
FICD	1	1	0	0	0	0	0	0	0	0	0	0
ZXDC	5	5	0	1	1	0	0	0	0	0	0	0
RASAL1	2	1	1	1	1	0	1	0	1	0	0	0
HSD17B2	2	1	1	2	2	0	1	0	1	0	0	0
FAM46C	3	3	0	0	0	0	1	1	0	0	0	0
RGS1	1	1	0	0	0	0	0	0	0	0	0	0
UFSP2	4	4	0	2	2	0	0	0	0	0	0	0
NET1	2	1	1	0	0	0	4	1	3	0	0	0
TTLL3	2	1	1	1	0	1	3	3	0	0	0	0
PADI2	1	1	0	2	0	2	4	4	0	0	0	0
ZNF8	3	3	0	0	0	0	0	0	0	0	0	0
CCDC85B	1	1	0	0	0	0	1	1	0	0	0	0
NBPF1	1	1	0	8	3	5	3	3	0	0	0	0
C2orf55	42	5	37	0	0	0	0	0	0	0	0	0
SIGLEC5	2	2	0	1	0	1	0	0	0	0	0	0
DNASE1	2	2	0	0	0	0	0	0	0	0	0	0
DCLK1	1	1	0	0	0	0	1	1	0	0	0	0
DPH5	1	1	0	1	0	1	0	0	0	0	0	0
LANCL2	1	1	0	0	0	0	0	0	0	0	0	0
AKAP4	1	1	0	0	0	0	0	0	0	0	0	0
MAFK	4	4	0	0	0	0	0	0	0	0	0	0
YWHAE	1	1	0	1	0	1	1	0	1	0	0	0
GCNT1	10	9	1	2	1	1	0	0	0	0	0	0
FRYL	1	1	0	0	0	0	1	1	0	0	0	0
WSB2	2	2	0	0	0	0	0	0	0	0	0	0
HDAC4	6	6	0	0	0	0	1	0	1	0	0	0
TRA2A	6	4	2	1	0	1	0	0	0	0	0	0
USP46	2	2	0	4	0	4	0	0	0	0	0	0
VPS53	6	5	1	2	1	1	8	5	3	0	0	0
KLF5	2	1	1	1	1	0	7	1	6	0	0	0
KIAA0408	1	1	0	0	0	0	6	3	3	0	0	0
RBL2	1	1	0	1	0	1	0	0	0	0	0	0
FLRT2	2	2	0	1	1	0	3	3	0	0	0	0
IARS2	2	1	1	1	1	0	12	12	0	0	0	0
SEC23IP	5	1	4	1	0	1	1	0	1	0	0	0
GPD2	1	1	0	2	1	1	0	0	0	0	0	0
RDH11	1	1	0	0	0	0	0	0	0	0	0	0
LYRM1	3	2	1	2	1	1	1	0	1	0	0	0
SBF1	3	2	1	1	0	1	0	0	0	0	0	0
BRCA2	8	7	1	0	0	0	2	1	1	0	0	0
CNN1	1	1	0	0	0	0	0	0	0	0	0	0
IARS	2	1	1	1	0	1	0	0	0	0	0	0
CYP39A1	4	4	0	0	0	0	0	0	0	0	0	0
ZMYM6	1	1	0	2	2	0	0	0	0	0	0	0
ELMO1	3	3	0	0	0	0	11	5	6	0	0	0
ETS2	3	3	0	0	0	0	1	0	1	0	0	0
KBTBD10	4	4	0	0	0	0	0	0	0	0	0	0
C9orf9	3	3	0	0	0	0	1	0	1	0	0	0
TCTN3	4	4	0	2	0	2	0	0	0	0	0	0
TFDP1	3	2	1	1	0	1	2	1	1	0	0	0
FAM45A	3	3	0	1	0	1	0	0	0	0	0	0
SDHB	6	6	0	1	1	0	1	0	1	0	0	0
HNRNPA3	2	2	0	0	0	0	0	0	0	0	0	0
CUL2	2	2	0	0	0	0	0	0	0	0	0	0
DGKE	3	3	0	1	0	1	1	0	1	0	0	0
CRMP1	8	5	3	7	3	4	0	0	0	0	0	0
GATAD2A	1	1	0	1	1	0	0	0	0	0	0	0
ELAVL2	2	1	1	0	0	0	1	1	0	0	0	0
YTHDF1	1	1	0	0	0	0	0	0	0	0	0	0
SIX5	1	1	0	6	6	0	1	0	1	0	0	0
ABAT	1	1	0	8	7	1	0	0	0	0	0	0
ARHGDIG	3	3	0	0	0	0	1	0	1	0	0	0
ARMC4	3	3	0	0	0	0	1	0	1	0	0	0
GPR64	2	2	0	11	0	11	1	0	1	0	0	0
LEFTY2	2	2	0	0	0	0	1	0	1	0	0	0
HPSE	1	1	0	3	2	1	1	0	1	0	0	0
NAP1L3	5	5	0	0	0	0	0	0	0	0	0	0
TESK1	1	1	0	3	3	0	0	0	0	0	0	0
SLC26A6	1	1	0	1	0	1	1	0	1	0	0	0
SLC9A5	7	4	3	0	0	0	0	0	0	0	0	0
PPP1R2	2	2	0	0	0	0	1	1	0	0	0	0
PRPF38B	5	4	1	0	0	0	0	0	0	0	0	0
NRL	5	5	0	0	0	0	0	0	0	0	0	0
AMFR	1	1	0	0	0	0	0	0	0	0	0	0
HBG1	2	2	0	3	3	0	1	0	1	0	0	0
CLNS1A	3	3	0	1	0	1	9	9	0	0	0	0
PLXNA1	3	3	0	1	0	1	0	0	0	0	0	0
SLC29A2	1	1	0	2	2	0	0	0	0	0	0	0
SHH	2	2	0	5	5	0	0	0	0	0	0	0
CR2	4	4	0	0	0	0	1	1	0	0	0	0
ARSF	1	1	0	0	0	0	0	0	0	0	0	0
ZNF304	3	3	0	0	0	0	2	0	2	0	0	0
TAF1C	1	1	0	1	0	1	0	0	0	0	0	0
ABCC4	3	1	2	0	0	0	0	0	0	0	0	0
AMN	6	6	0	0	0	0	1	1	0	0	0	0
DTNB	1	1	0	0	0	0	2	2	0	0	0	0
SPARCL1	4	3	1	0	0	0	3	2	1	0	0	0
ASNA1	1	1	0	2	2	0	0	0	0	0	0	0
LGALS3	1	1	0	4	0	4	1	1	0	0	0	0
SNIP1	4	4	0	1	0	1	0	0	0	0	0	0
DDX17	2	2	0	0	0	0	0	0	0	0	0	0
MRPL3	2	2	0	4	1	3	6	5	1	0	0	0
FRMPD1	3	1	2	1	0	1	0	0	0	0	0	0
PITRM1	10	2	8	1	0	1	0	0	0	0	0	0
LGSN	1	1	0	0	0	0	0	0	0	0	0	0
PYCRL	2	1	1	9	4	5	11	5	6	0	0	0
TMEM66	2	2	0	0	0	0	0	0	0	0	0	0
MET	1	1	0	0	0	0	3	1	2	0	0	0
GSTA3	2	2	0	4	0	4	1	0	1	0	0	0
KCNE1L	3	3	0	0	0	0	1	0	1	0	0	0
PORCN	6	6	0	0	0	0	1	0	1	0	0	0
FETUB	2	2	0	0	0	0	5	0	5	0	0	0
CYP2A7	16	15	1	2	0	2	30	30	0	0	0	0
BDH2	6	3	3	0	0	0	0	0	0	0	0	0
PRPH	1	1	0	0	0	0	1	0	1	0	0	0
BRWD1	1	1	0	0	0	0	0	0	0	0	0	0
SON	5	4	1	1	1	0	0	0	0	0	0	0
HDAC11	1	1	0	1	1	0	8	8	0	0	0	0
NSL1	1	1	0	0	0	0	0	0	0	0	0	0
DYNLRB1	7	4	3	4	0	4	0	0	0	0	0	0
PLA2G2E	3	1	2	1	0	1	1	0	1	0	0	0
GOLGA3	2	2	0	2	2	0	0	0	0	0	0	0
PCDH7	5	4	1	0	0	0	1	0	1	0	0	0
ACACB	1	1	0	0	0	0	1	0	1	0	0	0
SLC25A12	1	1	0	0	0	0	0	0	0	0	0	0
HOXB7	4	3	1	0	0	0	0	0	0	0	0	0
C15orf24	1	1	0	1	0	1	0	0	0	0	0	0
CBX4	1	1	0	0	0	0	0	0	0	0	0	0
KRT8	3	2	1	0	0	0	0	0	0	0	0	0
TRIM3	1	1	0	3	2	1	0	0	0	0	0	0
C21orf7	1	1	0	5	0	5	1	1	0	0	0	0
NT5C2	2	2	0	5	4	1	0	0	0	0	0	0
NPPC	17	1	16	1	0	1	0	0	0	0	0	0
CREB5	1	1	0	1	0	1	1	1	0	0	0	0
ZER1	3	3	0	0	0	0	0	0	0	0	0	0
EPX	5	5	0	0	0	0	0	0	0	0	0	0
RPP30	1	1	0	1	1	0	0	0	0	0	0	0
ATP8B4	2	1	1	0	0	0	2	1	1	0	0	0
RPL34	1	1	0	2	2	0	0	0	0	0	0	0
NGDN	1	1	0	0	0	0	0	0	0	0	0	0
NFE2L2	2	2	0	0	0	0	0	0	0	0	0	0
COX6A2	2	1	1	1	1	0	2	1	1	0	0	0
YBX2	3	2	1	1	1	0	0	0	0	0	0	0
DCHS1	2	2	0	1	1	0	0	0	0	0	0	0
EFEMP1	2	2	0	0	0	0	0	0	0	0	0	0
KIF18A	4	3	1	14	2	12	0	0	0	0	0	0
ZNF330	2	1	1	0	0	0	0	0	0	0	0	0
WDR74	1	1	0	1	1	0	21	2	19	0	0	0
PDE12	2	1	1	1	0	1	1	0	1	0	0	0
HS3ST3B1	1	1	0	1	0	1	5	2	3	0	0	0
NEUROD6	1	1	0	0	0	0	1	0	1	0	0	0
OTC	2	2	0	0	0	0	5	2	3	0	0	0
NUP43	3	1	2	0	0	0	1	0	1	0	0	0
TRIP12	2	1	1	0	0	0	1	0	1	0	0	0
PRICKLE3	2	1	1	1	0	1	0	0	0	0	0	0
C8orf41	5	4	1	2	0	2	0	0	0	0	0	0
S100A11	2	1	1	0	0	0	0	0	0	0	0	0
EPB41L3	1	1	0	1	1	0	10	10	0	0	0	0
GOLPH3	3	2	1	1	0	1	1	0	1	0	0	0
GAPDHS	4	1	3	2	0	2	0	0	0	0	0	0
CA3	1	1	0	2	0	2	1	0	1	0	0	0
PPP2CA	2	2	0	2	0	2	0	0	0	0	0	0
STRN	1	1	0	2	2	0	1	1	0	0	0	0
CHCHD8	1	1	0	0	0	0	9	7	2	0	0	0
NDUFA10	5	3	2	1	1	0	2	1	1	0	0	0
TPMT	2	2	0	1	1	0	0	0	0	0	0	0
UTP14C	5	1	4	0	0	0	0	0	0	0	0	0
RAMP3	4	4	0	2	0	2	0	0	0	0	0	0
TXK	1	1	0	0	0	0	0	0	0	0	0	0
S100G	8	4	4	1	1	0	3	0	3	0	0	0
OR6A2	2	2	0	0	0	0	5	4	1	0	0	0
ST3GAL6	2	2	0	1	1	0	0	0	0	0	0	0
CRNKL1	2	2	0	0	0	0	3	1	2	0	0	0
NPC2	1	1	0	0	0	0	0	0	0	0	0	0
PPARGC1A	3	3	0	1	0	1	0	0	0	0	0	0
CLDN5	2	2	0	1	0	1	2	0	2	0	0	0
SDK2	1	1	0	11	10	1	0	0	0	0	0	0
MEMO1	1	1	0	3	3	0	7	4	3	0	0	0
BRD8	1	1	0	1	0	1	0	0	0	0	0	0
BPI	4	2	2	1	0	1	0	0	0	0	0	0
HIP1R	2	2	0	0	0	0	0	0	0	0	0	0
CD163	2	2	0	1	1	0	1	0	1	0	0	0
EXT1	1	1	0	0	0	0	0	0	0	0	0	0
SIPA1L1	2	2	0	0	0	0	0	0	0	0	0	0
PCSK6	2	2	0	0	0	0	0	0	0	0	0	0
ZNF187	5	5	0	1	0	1	0	0	0	0	0	0
LPGAT1	2	2	0	1	1	0	1	1	0	0	0	0
GUCY1A2	1	1	0	1	1	0	0	0	0	0	0	0
SLC5A7	3	3	0	0	0	0	6	2	4	0	0	0
BMP8A	1	1	0	0	0	0	0	0	0	0	0	0
PRR13	1	1	0	2	1	1	0	0	0	0	0	0
GSTZ1	6	6	0	3	1	2	0	0	0	0	0	0
ZNF79	1	1	0	1	1	0	0	0	0	0	0	0
ZFPM2	25	8	17	1	1	0	1	1	0	0	0	0
PPEF1	18	2	16	2	1	1	0	0	0	0	0	0
TYMP	3	2	1	1	1	0	1	0	1	0	0	0
COTL1	2	2	0	11	11	0	0	0	0	0	0	0
VAMP2	1	1	0	0	0	0	0	0	0	0	0	0
DHPS	6	6	0	3	3	0	2	0	2	0	0	0
PANK2	1	1	0	1	1	0	0	0	0	0	0	0
SERP1	1	1	0	0	0	0	0	0	0	0	0	0
ALDH2	2	2	0	0	0	0	1	0	1	0	0	0
EIF2B4	2	1	1	4	2	2	1	1	0	0	0	0
MAP4K1	2	2	0	2	2	0	0	0	0	0	0	0
HADHA	1	1	0	0	0	0	1	1	0	0	0	0
ZFR	4	1	3	2	1	1	0	0	0	0	0	0
NAPA	1	1	0	0	0	0	1	0	1	0	0	0
LRRC20	5	4	1	0	0	0	0	0	0	0	0	0
MED15	2	2	0	3	3	0	1	1	0	0	0	0
