	Gene.ID	Stroma.pixels	Epithelium.pixels	Brown.Spots.in.Stroma	Brown.Spots.in.Epithelium	Nucleus.Pixels.in.Stroma	Nucleus.pixels.in.Epithelium
585	PRDM12 	1427	64878	0	0	165	8046
586	PRDM12 	3114	87944	0	19	253	7061
587	RNASE1 	11496	81023	68	221	130	1255
588	RNASE1 	26547	52327	510	1977	1704	3307
589	RNASE1 	26547	52327	510	1977	1704	3307
590	RNASE1 	41305	7084	67	11	1020	273
591	RNASE1 	34646	14068	0	0	917	449
592	RNASE1 	45510	69027	13	19	1867	3794
593	RNASE1 	90398	21728	1528	634	2500	599
594	SCN11A 	9902	66930	3	36	134	1261
595	SCN11A 	5435	133249	2	22	278	6610
596	SCN11A 	60469	76119	4	4	388	1286
597	SCN11A 	14739	104674	4	47	151	1579
598	SCN11A 	19711	5192	39	55	434	221
599	SCN11A 	9824	19892	3	46	380	741
600	SCN11A 	11618	120737	9	64	128	1696
601	SERPINB5 	88734	40917	740	523	2396	1489
602	SERPINB5 	70265	31623	61	21	1283	852
603	SERPINB5 	69574	43050	134	323	685	1126
604	SERPINB5 	54220	45112	71	31	1077	2040
605	SERPINB5 	35957	32337	2	0	390	527
606	SERPINB5 	125170	16376	8106	2404	189	62
607	SERPINB5 	88441	20170	57	9	869	270
608	SFTPB 	40675	86133	0	0	4014	10300
609	SFTPB 	35840	34448	0	0	527	2158
610	SFTPB 	71654	17538	17	5	2357	844
611	SFTPB 	46061	66022	0	1	1503	3795
612	SFTPB 	4488	122780	0	0	648	11999
613	SFTPB 	27126	60340	15	43	586	1989
614	SFTPB 	33409	29613	17	30	2751	2882
615	SLC4A10 	14451	99807	13	59	407	4650
616	SLC4A10 	8390	97342	24	164	252	4114
617	SLC4A10 	36748	113045	10	37	286	1854
618	SLC4A10 	26766	57676	5	13	478	2420
619	SLC4A10 	22561	95809	9	20	508	5312
620	SLC4A10 	69258	69565	35	20	1211	2386
621	SPINK1 	7572	112429	0	0	341	4782
622	SPINK1 	45819	75190	0	0	690	3056
623	SPINK1 	9388	114204	0	1	301	7443
624	SPINK1 	20642	22365	0	0	236	666
625	SPINK1 	88889	3616	242	39	1629	79
626	SPINK1 	15069	24452	0	0	1016	1376
627	STAP1 	24235	82293	18	83	1529	5857
628	STAP1 	3852	141908	2	88	454	20117
629	STAP1 	9383	101654	4	39	473	5780
630	STAP1 	62901	42787	2185	1745	2088	1439
631	STAP1 	83163	51048	63	44	1211	1564
632	STAP1 	21623	111030	1	16	281	1663
633	STAP1 	57355	29549	219	137	1697	1822
634	STXBP2 	74746	44298	497	463	2004	1485
635	STXBP2 	44921	60996	54	81	737	2007
636	STXBP2 	7204	6800	19	41	153	235
637	STXBP2 	34208	94252	40	83	1229	4376
638	STXBP2 	29242	10864	269	100	316	271
639	STXBP2 	43897	19282	201	246	1039	931
640	SULT1E1 	30451	124913	2	4	472	4458
641	SULT1E1 	15664	100384	0	0	523	5033
642	SULT1E1 	9861	93423	0	0	578	6626
643	SULT1E1 	28123	108473	0	0	864	5652
644	SULT1E1 	37403	71780	3	4	843	3518
645	SULT1E1 	1952	91790	0	0	87	3955
646	SULT1E1 	27114	71514	7	9	660	2154
647	SYNPO2L 	101566	1475	54	5	2207	61
648	SYNPO2L 	1177	63269	0	3	90	4410
649	SYNPO2L 	54321	37268	20	55	748	789
650	SYNPO2L 	62953	46878	17	11	2943	3440
651	SYNPO2L 	65257	38036	21	19	2809	2533
652	SYNPO2L 	87850	45185	7	6	1807	1921
653	TEX12 	15945	19822	0	0	1147	3407
654	TEX12 	25591	46115	0	0	450	1360
655	TEX12 	6724	29033	0	0	301	3522
656	TEX12 	86931	29126	0	0	1315	879
657	TEX12 	70227	72821	0	0	915	1849
658	TEX12 	29563	74316	2	0	296	3826
659	TP53 	52433	50666	220	175	1868	3768
660	TP53 	9459	122712	36	524	298	4035
661	TP53 	94469	14077	8633	2281	146	44
662	TP53 	69631	60390	20	37	5260	6145
663	TP53 	99356	249	238	2	190	5
664	TP53 	79581	49453	166	100	4822	4157
665	TP53 	18594	103249	13	26	457	5702
666	ZP2 	29261	83229	0	3	878	2707
667	ZP2 	1662	22875	0	1	45	1109
668	ZP2 	30943	82266	33	199	1318	4114
669	ZP2 	35113	67845	14	46	1332	4522
670	ZP2 	40712	80952	47	88	1441	3179
671	ZP2 	43190	112348	20	82	4379	14989
672	ZP2 	95169	4364	61	3	1321	78
