	probe	EntrezGene.ID	Gene.Symbol
geneid_6159	geneid_6159	6159	RPL29
geneid_56172	geneid_56172	56172	ANKH
geneid_284367	geneid_284367	284367	SIGLECP3
geneid_98	geneid_98	98	ACYP2
geneid_27289	geneid_27289	27289	RND1
geneid_3133	geneid_3133	3133	HLA-E
geneid_3034	geneid_3034	3034	HAL
geneid_347744	geneid_347744	347744	C6orf52
geneid_6749	geneid_6749	6749	SSRP1
geneid_26538	geneid_26538	26538	OR10H2
geneid_1672	geneid_1672	1672	DEFB1
geneid_10978	geneid_10978	10978	HEAB
geneid_339390	geneid_339390	339390	CLEC4G
geneid_122809	geneid_122809	122809	SOCS4
geneid_4809	geneid_4809	4809	NHP2L1
geneid_55198	geneid_55198	55198	DIP13B
geneid_56062	geneid_56062	56062	KLHL4
geneid_55778	geneid_55778	55778	C14orf131
geneid_29081	geneid_29081	29081	METTL5
geneid_653256	geneid_653256	653256	LOC653256
geneid_91662	geneid_91662	91662	NALP12
geneid_126282	geneid_126282	126282	TNFAIP8L1
geneid_4146	geneid_4146	4146	MATN1
geneid_5717	geneid_5717	5717	PSMD11
geneid_54664	geneid_54664	54664	TMEM106B
geneid_84885	geneid_84885	84885	ZDHHC12
geneid_171024	geneid_171024	171024	SYNPO2
geneid_83659	geneid_83659	83659	TEKT1
geneid_94097	geneid_94097	94097	SFXN5
geneid_84225	geneid_84225	84225	ZMYND15
geneid_541472	geneid_541472	541472	LOC541472
geneid_147007	geneid_147007	147007	C17orf32
geneid_11066	geneid_11066	11066	U1SNRNPBP
geneid_51726	geneid_51726	51726	DNAJB11
geneid_26281	geneid_26281	26281	FGF20
geneid_255403	geneid_255403	255403	ZNF718
geneid_2768	geneid_2768	2768	GNA12
geneid_164832	geneid_164832	164832	LONRF2
geneid_53827	geneid_53827	53827	FXYD5
geneid_886	geneid_886	886	CCKAR
geneid_51560	geneid_51560	51560	RAB6B
geneid_3574	geneid_3574	3574	IL7
geneid_51004	geneid_51004	51004	COQ6
geneid_1404	geneid_1404	1404	HAPLN1
geneid_23429	geneid_23429	23429	RYBP
geneid_10038	geneid_10038	10038	PARP2
geneid_4719	geneid_4719	4719	NDUFS1
geneid_55344	geneid_55344	55344	PLCXD1
geneid_10804	geneid_10804	10804	GJB6
geneid_91179	geneid_91179	91179	SCARF2
geneid_7036	geneid_7036	7036	TFR2
geneid_1612	geneid_1612	1612	DAPK1
geneid_24142	geneid_24142	24142	NAT6
geneid_5387	geneid_5387	5387	PMS2L3
geneid_65264	geneid_65264	65264	UBE2Z
geneid_54765	geneid_54765	54765	TRIM44
geneid_1201	geneid_1201	1201	CLN3
geneid_84675	geneid_84675	84675	TRIM55
geneid_340073	geneid_340073	340073	LOC340073
geneid_137196	geneid_137196	137196	CCDC26
geneid_26098	geneid_26098	26098	C10orf137
geneid_256764	geneid_256764	256764	WDR72
geneid_57491	geneid_57491	57491	AHRR
geneid_4055	geneid_4055	4055	LTBR
geneid_91694	geneid_91694	91694	LONRF1
geneid_11092	geneid_11092	11092	C9orf9
geneid_49856	geneid_49856	49856	WDR8
geneid_11314	geneid_11314	11314	CD300A
geneid_1454	geneid_1454	1454	CSNK1E
geneid_144448	geneid_144448	144448	TSPAN19
geneid_79031	geneid_79031	79031	PDCL3
geneid_140689	geneid_140689	140689	CBLN4
geneid_79930	geneid_79930	79930	DOK3
geneid_92241	geneid_92241	92241	RCSD1
geneid_56157	geneid_56157	56157	TEX13A
geneid_8992	geneid_8992	8992	ATP6V0E
geneid_10412	geneid_10412	10412	TINP1
geneid_3636	geneid_3636	3636	INPPL1
geneid_249	geneid_249	249	ALPL
geneid_7401	geneid_7401	7401	USH3A
geneid_361	geneid_361	361	AQP4
geneid_6230	geneid_6230	6230	RPS25
geneid_1902	geneid_1902	1902	EDG2
geneid_254251	geneid_254251	254251	LCORL
geneid_10086	geneid_10086	10086	HHLA1
geneid_84311	geneid_84311	84311	MRPL45
geneid_3400	geneid_3400	3400	ID4
geneid_3737	geneid_3737	3737	KCNA2
geneid_4213	geneid_4213	4213	MEIS3P1
geneid_29998	geneid_29998	29998	GLTSCR1
geneid_79897	geneid_79897	79897	RPP21
geneid_91289	geneid_91289	91289	TMEM153
geneid_9365	geneid_9365	9365	KL
geneid_8086	geneid_8086	8086	AAAS
geneid_137964	geneid_137964	137964	AGPAT6
geneid_64963	geneid_64963	64963	MRPS11
geneid_6036	geneid_6036	6036	RNASE2
geneid_11269	geneid_11269	11269	DDX19B
geneid_57520	geneid_57520	57520	HECW2
geneid_3718	geneid_3718	3718	JAK3
geneid_57626	geneid_57626	57626	KLHL1
geneid_4068	geneid_4068	4068	SH2D1A
geneid_10683	geneid_10683	10683	DLL3
geneid_7857	geneid_7857	7857	SCG2
geneid_55818	geneid_55818	55818	JMJD1A
geneid_29800	geneid_29800	29800	ZDHHC1
geneid_7425	geneid_7425	7425	VGF
geneid_655	geneid_655	655	BMP7
geneid_55922	geneid_55922	55922	NKRF
geneid_203100	geneid_203100	203100	HTRA4
geneid_64981	geneid_64981	64981	MRPL34
geneid_25917	geneid_25917	25917	THUMPD3
geneid_146057	geneid_146057	146057	TTBK2
geneid_1027	geneid_1027	1027	CDKN1B
geneid_121260	geneid_121260	121260	SLC15A4
geneid_823	geneid_823	823	CAPN1
geneid_55696	geneid_55696	55696	RBM22
geneid_2114	geneid_2114	2114	ETS2
geneid_269	geneid_269	269	AMHR2
geneid_23522	geneid_23522	23522	MYST4
geneid_54492	geneid_54492	54492	DKFZP761M1511
geneid_63929	geneid_63929	63929	LOC63929
geneid_2060	geneid_2060	2060	EPS15
geneid_152404	geneid_152404	152404	IGSF11
geneid_3982	geneid_3982	3982	LIM2
geneid_81892	geneid_81892	81892	C14orf156
geneid_8505	geneid_8505	8505	PARG
geneid_7363	geneid_7363	7363	UGT2B4
geneid_9322	geneid_9322	9322	TRIP10
geneid_6035	geneid_6035	6035	RNASE1
geneid_51651	geneid_51651	51651	PTRH2
geneid_1355	geneid_1355	1355	COX15
geneid_6383	geneid_6383	6383	SDC2
geneid_284889	geneid_284889	284889	LOC284889
geneid_860	geneid_860	860	RUNX2
geneid_54760	geneid_54760	54760	PCSK4
geneid_57509	geneid_57509	57509	MTUS1
geneid_6905	geneid_6905	6905	TBCE
geneid_9712	geneid_9712	9712	USP6NL
geneid_85315	geneid_85315	85315	PAQR8
geneid_23013	geneid_23013	23013	SPEN
geneid_285986	geneid_285986	285986	LOC285986
geneid_3176	geneid_3176	3176	HNMT
geneid_2177	geneid_2177	2177	FANCD2
geneid_55973	geneid_55973	55973	BCAP29
geneid_317761	geneid_317761	317761	C14orf39
geneid_7066	geneid_7066	7066	THPO
geneid_113201	geneid_113201	113201	CASC4
geneid_26230	geneid_26230	26230	TIAM2
geneid_150094	geneid_150094	150094	SNF1LK
geneid_148789	geneid_148789	148789	B3GALNT2
geneid_6092	geneid_6092	6092	ROBO2
geneid_10117	geneid_10117	10117	ENAM
geneid_148979	geneid_148979	148979	GLIS1
geneid_135228	geneid_135228	135228	CD109
geneid_124739	geneid_124739	124739	USP43
geneid_252995	geneid_252995	252995	FNDC5
geneid_84896	geneid_84896	84896	ATAD1
geneid_84936	geneid_84936	84936	ZFYVE19
geneid_389874	geneid_389874	389874	ZCCHC13
geneid_2304	geneid_2304	2304	FOXE1
geneid_2027	geneid_2027	2027	ENO3
geneid_3069	geneid_3069	3069	HDLBP
geneid_57819	geneid_57819	57819	LSM2
geneid_54919	geneid_54919	54919	HEATR2
geneid_27122	geneid_27122	27122	DKK3
geneid_8350	geneid_8350	8350	HIST1H3A
geneid_126668	geneid_126668	126668	TDRD10
geneid_50674	geneid_50674	50674	NEUROG3
geneid_5888	geneid_5888	5888	RAD51
geneid_26574	geneid_26574	26574	AATF
geneid_50832	geneid_50832	50832	TAS2R4
geneid_646561	geneid_646561	646561	LOC646561
geneid_51557	geneid_51557	51557	GLULD1
geneid_219848	geneid_219848	219848	FLJ30719
geneid_16	geneid_16	16	AARS
geneid_27350	geneid_27350	27350	APOBEC3C
geneid_8829	geneid_8829	8829	NRP1
geneid_130507	geneid_130507	130507	ZNF650
geneid_55593	geneid_55593	55593	OTUD5
geneid_284613	geneid_284613	284613	CYB561D1
geneid_10175	geneid_10175	10175	CNIH
geneid_23140	geneid_23140	23140	ZZEF1
geneid_687	geneid_687	687	KLF9
geneid_2065	geneid_2065	2065	ERBB3
geneid_7007	geneid_7007	7007	TECTA
geneid_5089	geneid_5089	5089	PBX2
geneid_252884	geneid_252884	252884	ZNF396
geneid_88	geneid_88	88	ACTN2
geneid_665	geneid_665	665	BNIP3L
geneid_5726	geneid_5726	5726	TAS2R38
geneid_10199	geneid_10199	10199	MPHOSPH10
geneid_2252	geneid_2252	2252	FGF7
geneid_56981	geneid_56981	56981	PRDM11
geneid_85369	geneid_85369	85369	FAM40A
geneid_10057	geneid_10057	10057	ABCC5
geneid_9394	geneid_9394	9394	HS6ST1
geneid_11079	geneid_11079	11079	RER1
geneid_2245	geneid_2245	2245	FGD1
geneid_4919	geneid_4919	4919	ROR1
geneid_116150	geneid_116150	116150	C6orf68
geneid_51255	geneid_51255	51255	LOC51255
geneid_10342	geneid_10342	10342	TFG
geneid_5887	geneid_5887	5887	RAD23B
geneid_5617	geneid_5617	5617	PRL
geneid_80209	geneid_80209	80209	C13orf23
geneid_64109	geneid_64109	64109	CRLF2
geneid_142913	geneid_142913	142913	CFLP1
geneid_4067	geneid_4067	4067	LYN
geneid_3587	geneid_3587	3587	IL10RA
geneid_341346	geneid_341346	341346	LOC341346
geneid_57465	geneid_57465	57465	TBC1D24
geneid_117177	geneid_117177	117177	RAB3IP
geneid_6100	geneid_6100	6100	RP9
geneid_1016	geneid_1016	1016	CDH18
geneid_79368	geneid_79368	79368	FCRL2
geneid_26953	geneid_26953	26953	RANBP6
geneid_6674	geneid_6674	6674	SPAG1
geneid_7032	geneid_7032	7032	TFF2
geneid_995	geneid_995	995	CDC25C
geneid_55861	geneid_55861	55861	DBNDD2
geneid_1318	geneid_1318	1318	SLC31A2
geneid_283659	geneid_283659	283659	PRTG
geneid_65122	geneid_65122	65122	PRAMEF2
geneid_26188	geneid_26188	26188	OR1C1
geneid_10671	geneid_10671	10671	DCTN6
geneid_389766	geneid_389766	389766	C9orf153
geneid_63970	geneid_63970	63970	P53AIP1
geneid_80308	geneid_80308	80308	FLAD1
geneid_93134	geneid_93134	93134	ZNF561
geneid_117195	geneid_117195	117195	MRGPRX3
geneid_8772	geneid_8772	8772	FADD
geneid_7070	geneid_7070	7070	THY1
geneid_8833	geneid_8833	8833	GMPS
geneid_1737	geneid_1737	1737	DLAT
geneid_1666	geneid_1666	1666	DECR1
geneid_27292	geneid_27292	27292	HSA9761
geneid_427	geneid_427	427	ASAH1
geneid_27342	geneid_27342	27342	RABGEF1
geneid_55504	geneid_55504	55504	TNFRSF19
geneid_9687	geneid_9687	9687	GREB1
geneid_7399	geneid_7399	7399	USH2A
geneid_151188	geneid_151188	151188	ARL6IP6
geneid_79745	geneid_79745	79745	RSNL2
geneid_4166	geneid_4166	4166	CHST6
geneid_10682	geneid_10682	10682	EBP
geneid_222223	geneid_222223	222223	KIAA1324L
geneid_1106	geneid_1106	1106	CHD2
geneid_3084	geneid_3084	3084	NRG1
geneid_80764	geneid_80764	80764	THAP7
geneid_6208	geneid_6208	6208	RPS14
geneid_8882	geneid_8882	8882	ZNF259
geneid_57055	geneid_57055	57055	DAZ2
geneid_29919	geneid_29919	29919	C18orf8
geneid_4043	geneid_4043	4043	LRPAP1
geneid_3588	geneid_3588	3588	IL10RB
geneid_147	geneid_147	147	ADRA1B
geneid_93183	geneid_93183	93183	PIGM
geneid_7596	geneid_7596	7596	ZNF45
geneid_2861	geneid_2861	2861	GPR37
geneid_84996	geneid_84996	84996	C21orf119
geneid_5567	geneid_5567	5567	PRKACB
geneid_59353	geneid_59353	59353	TMEM35
geneid_84109	geneid_84109	84109	GPR103
geneid_6535	geneid_6535	6535	SLC6A8
geneid_54346	geneid_54346	54346	UNC93A
geneid_55666	geneid_55666	55666	NPLOC4
geneid_9917	geneid_9917	9917	FAM20B
geneid_26085	geneid_26085	26085	KLK13
geneid_162	geneid_162	162	AP1B1
geneid_7295	geneid_7295	7295	TXN
geneid_152579	geneid_152579	152579	SCFD2
geneid_8139	geneid_8139	8139	GAN
geneid_10083	geneid_10083	10083	USH1C
geneid_84629	geneid_84629	84629	KIAA1856
geneid_22899	geneid_22899	22899	ARHGEF15
geneid_111	geneid_111	111	ADCY5
geneid_8838	geneid_8838	8838	WISP3
geneid_63892	geneid_63892	63892	THADA
geneid_8418	geneid_8418	8418	CMAH
geneid_10046	geneid_10046	10046	CXorf6
geneid_64072	geneid_64072	64072	CDH23
geneid_140739	geneid_140739	140739	UBE2F
geneid_25992	geneid_25992	25992	SNED1
geneid_26519	geneid_26519	26519	TIMM10
geneid_114026	geneid_114026	114026	ZIM3
geneid_11274	geneid_11274	11274	USP18
geneid_64881	geneid_64881	64881	PCDH20
geneid_113829	geneid_113829	113829	SLC35A4
geneid_57661	geneid_57661	57661	KIAA1542
geneid_402055	geneid_402055	402055	CTB-1048E9.5
geneid_84268	geneid_84268	84268	RPAIN
geneid_430	geneid_430	430	ASCL2
geneid_121441	geneid_121441	121441	NEDD1
geneid_10244	geneid_10244	10244	RABEPK
geneid_10766	geneid_10766	10766	TOB2
geneid_6633	geneid_6633	6633	SNRPD2
geneid_11227	geneid_11227	11227	GALNT5
geneid_9445	geneid_9445	9445	ITM2B
geneid_23385	geneid_23385	23385	NCSTN
geneid_286128	geneid_286128	286128	ZFP41
geneid_56849	geneid_56849	56849	TCEAL7
geneid_83594	geneid_83594	83594	NUDT12
geneid_57147	geneid_57147	57147	SCYL3
geneid_2528	geneid_2528	2528	FUT6
geneid_51076	geneid_51076	51076	CUTC
geneid_23386	geneid_23386	23386	NUDCD3
geneid_225689	geneid_225689	225689	MAPK15
geneid_140596	geneid_140596	140596	DEFB104A
geneid_642698	geneid_642698	642698	LOC642698
geneid_645955	geneid_645955	645955	LOC645955
geneid_10408	geneid_10408	10408	MYCNOS
geneid_8496	geneid_8496	8496	PPFIBP1
geneid_4200	geneid_4200	4200	ME2
geneid_196463	geneid_196463	196463	LOC196463
geneid_8079	geneid_8079	8079	MLF2
geneid_387895	geneid_387895	387895	LOC387895
geneid_1406	geneid_1406	1406	CRX
geneid_29979	geneid_29979	29979	UBQLN1
geneid_10869	geneid_10869	10869	USP19
geneid_10773	geneid_10773	10773	ZBTB6
geneid_140032	geneid_140032	140032	RPS4Y2
geneid_57554	geneid_57554	57554	LRRC7
geneid_23218	geneid_23218	23218	NBEAL2
geneid_130617	geneid_130617	130617	ZFAND2B
geneid_10781	geneid_10781	10781	ZNF266
geneid_83658	geneid_83658	83658	DYNLRB1
geneid_150368	geneid_150368	150368	FAM109B
geneid_6866	geneid_6866	6866	TAC3
geneid_2099	geneid_2099	2099	ESR1
geneid_4632	geneid_4632	4632	MYL1
geneid_9984	geneid_9984	9984	THOC1
geneid_55684	geneid_55684	55684	C9orf86
geneid_64324	geneid_64324	64324	NSD1
geneid_55703	geneid_55703	55703	POLR3B
geneid_143187	geneid_143187	143187	VTI1A
geneid_26258	geneid_26258	26258	PLDN
geneid_10914	geneid_10914	10914	PAPOLA
geneid_54861	geneid_54861	54861	SNRK
geneid_4308	geneid_4308	4308	TRPM1
geneid_1298	geneid_1298	1298	COL9A2
geneid_90288	geneid_90288	90288	C3orf25
geneid_387921	geneid_387921	387921	RP11-50D16.3
geneid_1282	geneid_1282	1282	COL4A1
geneid_53919	geneid_53919	53919	SLCO1C1
geneid_3189	geneid_3189	3189	HNRPH3
geneid_10067	geneid_10067	10067	SCAMP3
geneid_257203	geneid_257203	257203	DSCR9
geneid_6261	geneid_6261	6261	RYR1
geneid_201780	geneid_201780	201780	SLC10A4
geneid_10614	geneid_10614	10614	HEXIM1
geneid_283102	geneid_283102	283102	FLJ46111
geneid_2875	geneid_2875	2875	GPT
geneid_54674	geneid_54674	54674	LRRN3
geneid_171177	geneid_171177	171177	RHOV
geneid_126129	geneid_126129	126129	CPT1C
geneid_64215	geneid_64215	64215	DNAJC1
geneid_10044	geneid_10044	10044	SH2D3C
geneid_26271	geneid_26271	26271	FBXO5
geneid_84879	geneid_84879	84879	MFSD2
geneid_54442	geneid_54442	54442	KCTD5
geneid_161725	geneid_161725	161725	OTUD7A
geneid_116337	geneid_116337	116337	PANX3
geneid_260340	geneid_260340	260340	LOC260340
geneid_26000	geneid_26000	26000	TBC1D10B
geneid_127391	geneid_127391	127391	TMCO2
geneid_23105	geneid_23105	23105	FSTL4
geneid_51429	geneid_51429	51429	SNX9
geneid_31	geneid_31	31	ACACA
geneid_284112	geneid_284112	284112	LOC284112
geneid_9589	geneid_9589	9589	WTAP
geneid_65244	geneid_65244	65244	SPATS2
geneid_89796	geneid_89796	89796	NAV1
geneid_64097	geneid_64097	64097	EPB41L4A
geneid_5563	geneid_5563	5563	PRKAA2
geneid_26228	geneid_26228	26228	BRDG1
geneid_29072	geneid_29072	29072	SETD2
geneid_146853	geneid_146853	146853	C17orf50
geneid_112858	geneid_112858	112858	TP53RK
geneid_10134	geneid_10134	10134	BCAP31
geneid_26511	geneid_26511	26511	CHIC2
geneid_79134	geneid_79134	79134	FAM11B
geneid_441058	geneid_441058	441058	MGC39584
geneid_5438	geneid_5438	5438	POLR2I
geneid_284801	geneid_284801	284801	LOC284801
geneid_8367	geneid_8367	8367	HIST1H4E
geneid_27284	geneid_27284	27284	SULT1B1
geneid_3590	geneid_3590	3590	IL11RA
geneid_6622	geneid_6622	6622	SNCA
geneid_146378	geneid_146378	146378	FLJ25404
geneid_23671	geneid_23671	23671	TMEFF2
geneid_414777	geneid_414777	414777	HCG18
geneid_79142	geneid_79142	79142	PHF23
geneid_144165	geneid_144165	144165	PRICKLE1
geneid_54205	geneid_54205	54205	CYCS
geneid_145508	geneid_145508	145508	C14orf145
geneid_117247	geneid_117247	117247	SLC16A10
geneid_9415	geneid_9415	9415	FADS2
geneid_4312	geneid_4312	4312	MMP1
geneid_51246	geneid_51246	51246	SCOTIN
geneid_6194	geneid_6194	6194	RPS6
geneid_29909	geneid_29909	29909	GPR171
geneid_10857	geneid_10857	10857	PGRMC1
geneid_90678	geneid_90678	90678	LRSAM1
geneid_55763	geneid_55763	55763	EXOC1
geneid_164656	geneid_164656	164656	TMPRSS6
geneid_124925	geneid_124925	124925	SEZ6
geneid_9781	geneid_9781	9781	RNF144
geneid_84255	geneid_84255	84255	SLC37A3
geneid_55276	geneid_55276	55276	PGM2
geneid_3576	geneid_3576	3576	IL8
geneid_9987	geneid_9987	9987	HNRPDL
geneid_79085	geneid_79085	79085	SLC25A23
geneid_27035	geneid_27035	27035	NOX1
geneid_5501	geneid_5501	5501	PPP1CC
geneid_161835	geneid_161835	161835	FSIP1
geneid_467	geneid_467	467	ATF3
geneid_9639	geneid_9639	9639	ARHGEF10
geneid_400952	geneid_400952	400952	UNQ6975
geneid_2483	geneid_2483	2483	FRG1
geneid_5218	geneid_5218	5218	PFTK1
geneid_10975	geneid_10975	10975	UQCR
geneid_51167	geneid_51167	51167	CYB5R4
geneid_90736	geneid_90736	90736	FAM104B
geneid_2184	geneid_2184	2184	FAH
geneid_55143	geneid_55143	55143	CDCA8
geneid_57825	geneid_57825	57825	DXS542
geneid_55799	geneid_55799	55799	CACNA2D3
geneid_255926	geneid_255926	255926	TMDCII
geneid_253935	geneid_253935	253935	ANGPTL5
geneid_8303	geneid_8303	8303	SNN
geneid_201292	geneid_201292	201292	TRIM65
geneid_169981	geneid_169981	169981	SPIN3
geneid_90333	geneid_90333	90333	ZNF468
geneid_11224	geneid_11224	11224	RPL35
geneid_257068	geneid_257068	257068	PLCXD2
geneid_2047	geneid_2047	2047	EPHB1
geneid_25937	geneid_25937	25937	WWTR1
geneid_51564	geneid_51564	51564	HDAC7A
geneid_54952	geneid_54952	54952	TRSPAP1
geneid_57553	geneid_57553	57553	MICAL3
geneid_57604	geneid_57604	57604	KIAA1456
geneid_6505	geneid_6505	6505	SLC1A1
geneid_5519	geneid_5519	5519	PPP2R1B
geneid_55718	geneid_55718	55718	POLR3E
geneid_23347	geneid_23347	23347	SMCHD1
geneid_83786	geneid_83786	83786	FKSG44
geneid_92806	geneid_92806	92806	MGC16385
geneid_57168	geneid_57168	57168	ASPHD2
geneid_755	geneid_755	755	C21orf2
geneid_10660	geneid_10660	10660	LBX1
geneid_5565	geneid_5565	5565	PRKAB2
geneid_26127	geneid_26127	26127	FGFR1OP2
geneid_947	geneid_947	947	CD34
geneid_6011	geneid_6011	6011	GRK1
geneid_6370	geneid_6370	6370	CCL25
geneid_164237	geneid_164237	164237	WFDC13
geneid_2115	geneid_2115	2115	ETV1
geneid_11328	geneid_11328	11328	FKBP9
geneid_219855	geneid_219855	219855	SLC37A2
geneid_4481	geneid_4481	4481	MSR1
geneid_1382	geneid_1382	1382	CRABP2
geneid_445328	geneid_445328	445328	FLJ43692
geneid_65251	geneid_65251	65251	ZNF649
geneid_23373	geneid_23373	23373	CRTC1
geneid_127707	geneid_127707	127707	KLHDC7A
geneid_374659	geneid_374659	374659	HDDC3
geneid_4522	geneid_4522	4522	MTHFD1
geneid_9402	geneid_9402	9402	GRAP2
geneid_2248	geneid_2248	2248	FGF3
geneid_22987	geneid_22987	22987	SV2C
geneid_55211	geneid_55211	55211	DPPA4
geneid_146664	geneid_146664	146664	MGAT5B
geneid_6742	geneid_6742	6742	SSBP1
geneid_84671	geneid_84671	84671	ZNF347
geneid_146223	geneid_146223	146223	CMTM4
geneid_88523	geneid_88523	88523	RP11-298P3.3
geneid_56474	geneid_56474	56474	CTPS2
geneid_23762	geneid_23762	23762	OSBP2
geneid_192670	geneid_192670	192670	EIF2C4
geneid_1944	geneid_1944	1944	EFNA3
geneid_11181	geneid_11181	11181	TREH
geneid_3108	geneid_3108	3108	HLA-DMA
geneid_5723	geneid_5723	5723	PSPH
geneid_84247	geneid_84247	84247	LDOC1L
geneid_146456	geneid_146456	146456	TMED6
geneid_378828	geneid_378828	378828	C21orf117
geneid_6201	geneid_6201	6201	RPS7
geneid_6436	geneid_6436	6436	SFTPA2
geneid_400512	geneid_400512	400512	FLJ21408
geneid_53635	geneid_53635	53635	PTOV1
geneid_284695	geneid_284695	284695	ZNF326
geneid_3206	geneid_3206	3206	HOXA10
geneid_129401	geneid_129401	129401	NUP35
geneid_114960	geneid_114960	114960	TSGA13
geneid_84709	geneid_84709	84709	OSAP
geneid_6037	geneid_6037	6037	RNASE3
geneid_10480	geneid_10480	10480	PCID1
geneid_57093	geneid_57093	57093	TRIM49
geneid_54780	geneid_54780	54780	C10orf86
geneid_81875	geneid_81875	81875	ISG20L2
geneid_79932	geneid_79932	79932	KIAA0319L
geneid_29894	geneid_29894	29894	CPSF1
geneid_29799	geneid_29799	29799	YPEL1
geneid_23089	geneid_23089	23089	PEG10
geneid_9275	geneid_9275	9275	BCL7B
geneid_220594	geneid_220594	220594	LOC220594
geneid_9375	geneid_9375	9375	TM9SF2
geneid_54585	geneid_54585	54585	LZTFL1
geneid_147968	geneid_147968	147968	CAPN12
geneid_1750	geneid_1750	1750	DLX6
geneid_6936	geneid_6936	6936	C2orf3
geneid_56757	geneid_56757	56757	LOC56757
geneid_5169	geneid_5169	5169	ENPP3
geneid_7321	geneid_7321	7321	UBE2D1
geneid_10197	geneid_10197	10197	PSME3
geneid_56979	geneid_56979	56979	PRDM9
geneid_55752	geneid_55752	55752	11-Sep
geneid_442578	geneid_442578	442578	LOC442578
geneid_28956	geneid_28956	28956	MAPBPIP
geneid_252946	geneid_252946	252946	CYorf16
geneid_79984	geneid_79984	79984	FLJ21736
geneid_9647	geneid_9647	9647	PPM1F
geneid_414300	geneid_414300	414300	LOC414300
geneid_997	geneid_997	997	CDC34
geneid_3128	geneid_3128	3128	HLA-DRB6
geneid_8382	geneid_8382	8382	NME5
geneid_6928	geneid_6928	6928	TCF2
geneid_9188	geneid_9188	9188	DDX21
geneid_27297	geneid_27297	27297	RCP9
geneid_64210	geneid_64210	64210	MMS19L
geneid_140823	geneid_140823	140823	C20orf52
geneid_5010	geneid_5010	5010	CLDN11
geneid_57007	geneid_57007	57007	CMKOR1
geneid_29785	geneid_29785	29785	CYP2S1
geneid_8993	geneid_8993	8993	PGLYRP1
geneid_30062	geneid_30062	30062	RAX
geneid_56648	geneid_56648	56648	EIF5A2
geneid_56906	geneid_56906	56906	THAP10
geneid_220107	geneid_220107	220107	DLEU7
geneid_133121	geneid_133121	133121	ENPP6
geneid_55754	geneid_55754	55754	TMEM30A
geneid_2905	geneid_2905	2905	GRIN2C
geneid_8817	geneid_8817	8817	FGF18
geneid_10400	geneid_10400	10400	PEMT
geneid_6919	geneid_6919	6919	TCEA2
geneid_84991	geneid_84991	84991	RBM17
geneid_84920	geneid_84920	84920	ALG10
geneid_253635	geneid_253635	253635	CCDC75
geneid_57521	geneid_57521	57521	KIAA1303
geneid_114227	geneid_114227	114227	LOC114227
geneid_92002	geneid_92002	92002	FAM58A
geneid_4113	geneid_4113	4113	MAGEB2
geneid_23553	geneid_23553	23553	HYAL4
geneid_26122	geneid_26122	26122	EPC2
geneid_4065	geneid_4065	4065	LY75
geneid_4253	geneid_4253	4253	CTAGE5
geneid_6718	geneid_6718	6718	AKR1D1
geneid_57016	geneid_57016	57016	AKR1B10
geneid_79815	geneid_79815	79815	NPAL2
geneid_84181	geneid_84181	84181	CHD6
geneid_112939	geneid_112939	112939	BTBD14B
geneid_55224	geneid_55224	55224	ETNK2
geneid_284	geneid_284	284	ANGPT1
geneid_440956	geneid_440956	440956	LOC440956
geneid_83699	geneid_83699	83699	SH3BGRL2
geneid_59286	geneid_59286	59286	UBL5
geneid_91523	geneid_91523	91523	FAM113B
geneid_353219	geneid_353219	353219	KAAG1
geneid_8659	geneid_8659	8659	ALDH4A1
geneid_57150	geneid_57150	57150	C6orf162
geneid_6550	geneid_6550	6550	SLC9A3
geneid_23480	geneid_23480	23480	SEC61G
geneid_57542	geneid_57542	57542	KLHDC5
geneid_10938	geneid_10938	10938	EHD1
geneid_201232	geneid_201232	201232	SLC16A13
geneid_11120	geneid_11120	11120	BTN2A1
geneid_23291	geneid_23291	23291	FBXW11
geneid_55222	geneid_55222	55222	LRRC20
geneid_8898	geneid_8898	8898	MTMR2
geneid_266811	geneid_266811	266811	NPSA
geneid_1602	geneid_1602	1602	DACH1
geneid_83259	geneid_83259	83259	PCDH11Y
geneid_10730	geneid_10730	10730	YME1L1
geneid_3607	geneid_3607	3607	FOXK2
geneid_63947	geneid_63947	63947	DMRTC1
geneid_366	geneid_366	366	AQP9
geneid_84070	geneid_84070	84070	C12orf25
geneid_2068	geneid_2068	2068	ERCC2
geneid_25890	geneid_25890	25890	ABI3BP
geneid_51121	geneid_51121	51121	RPL26L1
geneid_91404	geneid_91404	91404	SESTD1
geneid_554175	geneid_554175	554175	LOC554175
geneid_7057	geneid_7057	7057	THBS1
geneid_55327	geneid_55327	55327	LIN7C
geneid_127733	geneid_127733	127733	UBXD3
geneid_7310	geneid_7310	7310	U2AF1L1
geneid_79269	geneid_79269	79269	WDR32
geneid_51386	geneid_51386	51386	EIF3S6IP
geneid_10525	geneid_10525	10525	HYOU1
geneid_27333	geneid_27333	27333	GOLPH4
geneid_80829	geneid_80829	80829	ZFP91
geneid_7730	geneid_7730	7730	ZNF177
geneid_5880	geneid_5880	5880	RAC2
geneid_23557	geneid_23557	23557	SNAPAP
geneid_9859	geneid_9859	9859	CEP170
geneid_220115	geneid_220115	220115	LOC220115
geneid_55266	geneid_55266	55266	TMEM19
geneid_440040	geneid_440040	440040	LOC440040
geneid_10658	geneid_10658	10658	CUGBP1
